,"大変
満足",満足,"やや
満足",普通,"やや
不満",不満,"大変
不満",無回答,合計,標本数
全体 ,42.4 ,47.4 ,5.4 ,3.4 ,0.3 ,0.1 ,0.8 ,0.2 ,100 ,"13,069 "
韓国 ,22.1 ,53.1 ,10.8 ,11.4 ,0.9 ,0.3 ,1.3 ,0.2 ,100 ,"1,783 "
台湾,39.6 ,54.4 ,3.9 ,1.3 ,0.0 ,0.0 ,0.7 ,0.0 ,100 ,"2,181 "
中国 ,36.3 ,55.5 ,6.2 ,1.5 ,0.3 ,0.0 ,0.2 ,0.1 ,100 ,"2,333 "
香港 ,40.6 ,53.2 ,4.2 ,1.5 ,0.0 ,0.1 ,0.2 ,0.1 ,100 ,727 
タイ,58.3 ,35.5 ,2.6 ,1.9 ,0.0 ,0.0 ,1.1 ,0.6 ,100 ,838 
シンガポール ,54.9 ,40.5 ,2.1 ,1.7 ,0.3 ,0.0 ,0.3 ,0.3 ,100 ,409 
マレーシア,57.6 ,38.1 ,1.8 ,1.4 ,0.0 ,0.4 ,0.8 ,0.0 ,100 ,285 
米国,74.8 ,20.7 ,1.5 ,1.4 ,0.2 ,0.0 ,0.9 ,0.4 ,100 ,"1,356 "
カナダ,75.3 ,22.7 ,0.0 ,1.3 ,0.4 ,0.0 ,0.3 ,0.0 ,100 ,284 
英国,83.3 ,13.9 ,0.6 ,0.5 ,0.0 ,0.0 ,1.2 ,0.6 ,100 ,357 
ドイツ ,63.5 ,30.6 ,2.0 ,2.3 ,0.5 ,0.0 ,1.1 ,0.0 ,100 ,199 
フランス,68.5 ,27.6 ,1.7 ,0.9 ,0.3 ,0.0 ,0.3 ,0.6 ,100 ,332 
イタリア ,67.9 ,25.5 ,1.3 ,1.5 ,0.6 ,0.0 ,2.6 ,0.6 ,100 ,216 
スペイン ,68.2 ,29.5 ,0.8 ,1.2 ,0.0 ,0.0 ,0.0 ,0.3 ,100 ,229 
オーストラリア,75.6 ,22.2 ,1.8 ,0.0 ,0.2 ,0.0 ,0.2 ,0.0 ,100 ,435 
インド,64.9 ,26.6 ,3.1 ,2.6 ,0.0 ,0.0 ,2.8 ,0.0 ,100 ,160 
インドネシア ,62.5 ,33.1 ,1.7 ,1.8 ,0.0 ,0.0 ,0.4 ,0.5 ,100 ,217 
フィリピン,85.8 ,11.4 ,0.4 ,0.4 ,0.0 ,0.0 ,2.1 ,0.0 ,100 ,241 
ベトナム,47.5 ,37.2 ,5.3 ,3.0 ,3.0 ,1.5 ,1.4 ,1.1 ,100 ,193 
ロシア ,64.0 ,31.6 ,2.2 ,1.0 ,0.0 ,0.6 ,0.0 ,0.5 ,100 ,175 
その他,71.0 ,23.1 ,1.8 ,0.7 ,0.0 ,0.0 ,3.5 ,0.0 ,100 ,119 
,,,,,,,,,,
