,,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
一番期待していた場所,東京駅周辺・丸の内・日本橋,4.7,5.2,6.4,3.8,2.8,4.1,3.4,2.9,5.8,4.7,3.0,3.7,1.7,4.1,2.7,7.2,7.8,2.8,3.0,3.4,3.4,6.7
,秋葉原,12.0,13.5,7.8,15.3,10.7,9.7,9.3,14.3,14.6,16.7,10.0,16.1,20.5,11.1,25.6,9.0,11.5,9.3,7.3,8.1,9.0,3.6
,銀座,14.1,6.6,6.2,33.9,6.7,6.8,14.0,8.2,7.6,6.6,7.1,3.7,5.3,8.6,7.3,7.9,14.4,13.8,11.3,21.6,14.7,1.8
,築地,3.4,1.5,4.6,1.3,7.8,5.6,6.3,7.4,5.2,4.2,4.4,6.6,2.1,5.2,5.3,4.7,1.3,2.0,3.1,1.8,3.9,7.6
,原宿・表参道・青山,8.2,10.9,8.6,6.0,11.3,7.2,9.7,6.5,8.6,9.8,7.9,3.1,5.5,5.9,3.7,9.5,4.5,9.7,6.0,1.9,2.6,2.7
,渋谷,9.4,10.1,5.1,3.4,11.0,18.7,13.2,16.2,17.5,20.7,20.3,22.9,21.5,24.3,19.6,21.1,9.7,20.4,27.0,14.8,12.2,11.2
,六本木・赤坂,3.0,4.8,2.9,2.0,3.3,0.9,1.0,1.1,5.1,1.0,6.2,3.0,4.3,1.6,2.0,2.6,5.2,1.1,3.0,0.8,4.6,0.0
,新宿・大久保,11.4,16.1,9.7,7.8,14.5,16.6,17.4,15.4,11.8,14.4,11.0,6.8,7.8,7.7,9.1,16.2,8.2,9.9,13.1,10.5,2.9,0.9
,恵比寿・代官山,0.9,1.6,1.0,0.5,0.6,0.4,1.2,0.0,0.7,1.6,0.9,1.4,1.7,1.4,0.0,0.6,0.0,0.5,0.0,0.0,1.7,0.0
,池袋,3.2,3.6,4.6,3.1,6.2,2.0,1.9,0.0,1.0,1.5,2.1,0.6,1.3,0.5,0.6,1.6,2.4,0.9,1.9,1.7,2.4,0.0
,上野,4.1,2.2,6.8,3.5,7.5,8.5,4.6,4.2,3.5,2.4,5.2,4.9,5.6,5.1,3.4,2.4,1.5,3.6,3.6,1.7,7.3,0.0
,浅草,11.7,7.1,15.4,9.6,7.7,9.1,6.5,9.2,7.3,8.5,10.6,13.8,15.5,14.2,12.6,9.0,11.5,14.1,8.7,16.5,13.2,50.2
,墨田・両国,1.1,0.8,1.4,0.9,0.6,0.9,0.7,1.9,1.5,0.5,1.7,2.5,1.8,0.8,0.3,3.1,3.7,2.5,1.6,0.9,0.8,0.9
,新橋・汐留,0.9,1.1,1.2,0.7,0.5,0.0,1.9,1.1,1.5,0.5,0.9,2.0,0.9,0.7,0.0,0.8,2.1,0.6,0.4,0.0,1.7,0.9
,品川,1.4,1.2,0.8,0.4,0.5,1.2,1.0,1.1,2.7,2.1,3.0,2.8,0.8,1.1,0.6,0.5,4.2,0.8,2.0,2.5,0.0,10.9
,蒲田,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0
,お台場・東京湾,6.5,11.3,9.5,3.5,4.5,4.5,4.6,6.3,2.7,3.3,2.2,1.9,1.2,5.6,5.2,2.7,7.4,6.4,5.2,11.3,13.4,1.8
,吉祥寺・三鷹,1.4,0.8,4.0,1.3,1.3,0.2,0.7,1.3,1.2,0.0,0.9,0.8,1.7,1.6,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0
,八王子・高尾山,0.7,0.1,1.4,0.7,0.9,1.1,1.6,1.2,0.6,0.5,0.9,1.2,0.0,0.7,0.6,0.3,0.0,0.0,0.3,0.9,0.9,0.0
,青梅・御岳山,0.2,0.1,0.3,0.0,0.2,1.6,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.7,0.0,0.7,0.0
,奥多摩,0.1,0.1,0.3,0.0,0.1,0.2,0.0,0.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,伊豆諸島・小笠原諸島,0.5,0.0,0.5,1.2,0.3,0.4,0.4,0.0,0.1,0.0,0.9,0.6,0.0,0.0,0.0,0.0,1.5,0.0,0.6,0.9,1.4,0.9
,その他,0.9,1.1,1.4,0.9,0.8,0.2,0.7,1.1,0.8,0.5,0.8,0.6,0.9,0.0,0.3,0.8,2.2,1.0,0.7,0.9,2.9,0.0
,標本数,"13,045","1,771","2,059","2,665",802,700,355,263,"1,298",278,307,212,300,198,204,484,174,251,335,179,169,41
