,地下鉄,地下鉄以外の鉄道,空港リムジンバス,貸切バス,定期観光バス,路線バス,タクシー,水上バス・屋形船,船（郡内移動のみ）,自転車,親族・知人の車,レンタカー,その他,無回答,合計,標本数
全体 ,59.5,75.9,16.5,14.1,3.7,6.0,20.7,1.4,0.9,1.2,4.0,2.4,1.2,1.1,208.5,"12,959"
韓国 ,54.4,79.2,21.2,4.8,1.5,3.9,21.7,1.1,0.7,0.8,4.5,2.1,1.3,0.4,197.6,"1,666"
台湾,65.7,81.0,10.3,16.1,3.4,6.6,10.2,1.8,0.9,1.4,1.9,1.1,0.6,1.2,202.0,"2,112"
中国 ,51.2,59.3,13.2,30.0,3.9,6.0,17.4,0.7,0.4,0.8,4.1,3.5,1.1,1.6,193.3,"2,674"
香港 ,68.9,87.4,13.6,5.0,1.9,8.0,18.5,0.5,0.8,0.6,2.5,3.0,1.1,0.4,212.4,794
タイ ,48.4,77.6,16.7,11.8,7.6,2.9,22.1,0.9,0.8,1.6,4.9,6.0,1.8,0.8,204.1,710
シンガポール,60.1,84.6,27.3,6.3,4.3,3.5,28.8,0.8,0.9,1.2,2.6,3.1,2.1,0.5,226.2,338
マレーシア,53.9,72.6,15.1,16.2,5.3,5.6,16.6,2.0,0.7,1.3,1.6,1.7,1.7,1.7,196.0,289
米国,69.5,84.3,20.8,4.7,4.1,10.1,43.3,2.0,1.9,1.9,4.8,0.8,2.1,1.0,251.2,"1,336"
カナダ ,71.3,86.8,19.4,3.5,7.0,6.9,32.9,1.5,3.9,1.9,2.3,1.6,1.9,0.8,241.8,258
英国,73.4,83.2,24.4,0.9,4.5,6.6,42.4,3.2,4.8,3.2,4.1,1.3,3.1,0.4,255.4,312
ドイツ ,77.7,85.7,24.7,2.4,0.5,8.8,32.0,2.5,3.9,1.4,3.4,1.5,0.5,1.0,246.0,203
フランス,79.9,86.6,19.2,1.4,1.0,10.5,34.9,0.6,1.4,4.4,3.9,1.0,1.0,1.3,247.1,290
イタリア,78.6,83.2,19.0,2.3,3.6,8.7,33.9,1.6,1.3,2.1,1.4,0.0,0.9,2.0,238.6,204
スペイン,82.1,90.2,8.9,3.1,3.1,4.7,23.2,1.3,3.1,1.1,0.3,0.5,2.1,0.0,223.8,217
オーストラリア ,78.2,91.8,19.1,4.6,6.4,10.8,36.3,1.4,1.9,5.3,2.7,1.2,0.8,0.6,261.3,487
インド,57.1,78.6,27.5,2.2,8.3,8.5,31.8,2.0,1.1,2.0,1.4,4.6,2.4,1.4,229.0,160
インドネシア,49.3,79.7,18.5,6.1,9.0,12.2,28.3,0.4,1.5,0.9,4.0,3.6,0.6,0.8,214.8,215
フィリピン ,55.8,79.5,25.2,6.2,5.8,12.8,32.1,2.3,1.8,1.1,13.4,3.5,1.5,0.3,241.3,340
ベトナム,37.0,63.7,15.0,14.9,7.5,10.5,23.2,0.5,1.2,3.6,10.0,4.1,3.2,1.2,195.6,178
ロシア ,61.6,75.9,25.3,9.2,4.9,11.1,29.6,3.7,1.2,4.2,8.8,1.8,3.1,0.0,240.4,162
その他,81.2,95.8,28.2,4.2,9.4,0.0,28.2,9.4,0.0,0.0,10.4,0.0,0.0,4.2,270.8,14
