,訪問した,訪問しなかった,合計,標本数
全体,87.9,11.2,100.0,"14,773"
韓国,89.1,10.9,100.0,"2,116"
台湾,91.4,8.6,100.0,"2,134"
香港,92.6,7.4,100.0,"1,031"
中国,91.8,8.2,100.0,"2,801"
タイ,86.6,13.4,100.0,800
シンガポール,89.5,10.5,100.0,404
マレーシア,83.4,16.6,100.0,281
米国,77.2,22.8,100.0,"1,646"
カナダ,82.6,17.4,100.0,310
英国,84.8,15.2,100.0,335
ドイツ,80.5,19.5,100.0,234
フランス,83.4,16.6,100.0,314
イタリア,91.1,8.9,100.0,244
スペイン,94.7,5.3,100.0,236
オーストラリア,86.1,13.9,100.0,469
インド,77.3,22.7,100.0,218
インドネシア,86.0,14.0,100.0,357
フィリピン,79.6,20.4,100.0,369
ベトナム,83.1,16.9,100.0,242
ロシア,79.6,20.4,100.0,217
その他,58.2,16.5,100.0,15
