,,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
満足した場所,東京駅周辺・丸の内・日本橋,4.9 ,4.3 ,5.0 ,2.9 ,5.5 ,5.2 ,4.8 ,4.7 ,6.8 ,8.9 ,7.1 ,6.4 ,3.9 ,2.3 ,1.9 ,5.5 ,6.8 ,4.4 ,8.8 ,10.1 ,4.9 ,14.0 
,秋葉原,10.4 ,12.0 ,6.5 ,14.7 ,7.2 ,5.8 ,7.8 ,11.5 ,6.7 ,9.0 ,5.5 ,5.3 ,8.9 ,8.3 ,14.2 ,6.8 ,8.6 ,9.7 ,8.1 ,14.3 ,10.6 ,12.5 
,銀座,12.6 ,5.4 ,4.5 ,28.7 ,8.4 ,9.4 ,10.5 ,11.3 ,10.3 ,10.7 ,6.4 ,10.9 ,8.3 ,8.0 ,6.5 ,6.3 ,10.0 ,14.6 ,11.2 ,19.2 ,16.2 ,0.8 
,築地,2.7 ,0.8 ,4.0 ,1.5 ,6.3 ,3.1 ,5.2 ,2.9 ,3.8 ,8.2 ,3.3 ,3.9 ,2.5 ,4.3 ,7.9 ,2.6 ,1.1 ,0.6 ,1.9 ,1.4 ,1.4 ,2.9 
,原宿・表参道・青山,7.9 ,10.0 ,9.9 ,3.8 ,12.2 ,10.5 ,9.1 ,6.2 ,7.6 ,8.8 ,9.0 ,6.2 ,9.1 ,6.0 ,6.6 ,14.0 ,1.5 ,7.6 ,3.3 ,1.6 ,4.2 ,6.2 
,渋谷,7.5 ,8.8 ,3.9 ,3.0 ,7.0 ,16.5 ,10.6 ,12.9 ,14.3 ,13.9 ,12.2 ,11.4 ,19.6 ,18.2 ,11.2 ,20.1 ,14.2 ,12.7 ,19.9 ,7.4 ,9.7 ,11.2 
,六本木・赤坂,3.1 ,5.0 ,2.1 ,0.8 ,3.5 ,0.8 ,5.4 ,3.8 ,8.0 ,4.9 ,4.4 ,3.7 ,2.8 ,7.3 ,4.8 ,2.8 ,8.6 ,2.3 ,3.5 ,1.0 ,7.5 ,7.5 
,新宿・大久保,12.2 ,13.5 ,8.7 ,11.4 ,18.3 ,18.4 ,15.8 ,13.0 ,12.0 ,11.5 ,16.7 ,8.3 ,8.4 ,9.5 ,7.9 ,19.5 ,10.0 ,11.0 ,11.3 ,13.1 ,6.9 ,8.1 
,恵比寿・代官山,1.0 ,2.0 ,1.1 ,0.5 ,0.9 ,0.0 ,1.1 ,0.4 ,1.3 ,1.3 ,0.6 ,2.7 ,1.8 ,2.5 ,0.5 ,1.2 ,1.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
,池袋,2.9 ,2.9 ,3.2 ,3.3 ,4.7 ,1.6 ,3.2 ,0.7 ,1.9 ,1.3 ,1.6 ,1.9 ,0.7 ,1.3 ,0.0 ,0.9 ,0.7 ,2.7 ,2.0 ,0.9 ,1.5 ,2.5 
,上野,5.8 ,3.0 ,10.2 ,5.1 ,4.2 ,7.7 ,5.4 ,5.6 ,4.9 ,3.5 ,6.8 ,4.4 ,9.4 ,7.1 ,7.9 ,3.7 ,3.9 ,3.3 ,6.4 ,4.2 ,6.7 ,7.0 
,浅草,11.3 ,7.0 ,15.1 ,12.1 ,7.7 ,11.9 ,8.8 ,12.3 ,11.2 ,8.2 ,12.1 ,10.7 ,15.2 ,15.4 ,19.4 ,7.6 ,9.4 ,21.0 ,8.1 ,14.6 ,10.3 ,15.6 
,墨田・両国,1.1 ,0.6 ,1.4 ,0.8 ,1.4 ,0.3 ,1.4 ,0.0 ,1.9 ,2.4 ,2.3 ,4.5 ,1.3 ,1.5 ,1.5 ,1.2 ,4.3 ,2.1 ,1.5 ,1.2 ,1.5 ,2.6 
,新橋・汐留,0.9 ,1.3 ,0.5 ,0.6 ,1.3 ,0.8 ,0.4 ,2.3 ,1.1 ,1.3 ,1.1 ,3.1 ,0.4 ,2.0 ,1.0 ,1.5 ,2.5 ,1.0 ,1.4 ,0.0 ,1.5 ,0.0 
,品川,1.2 ,1.7 ,1.2 ,0.7 ,0.9 ,0.2 ,1.8 ,2.0 ,2.7 ,2.6 ,1.5 ,2.6 ,1.1 ,0.8 ,0.4 ,0.8 ,5.0 ,0.5 ,1.4 ,0.7 ,2.2 ,0.8 
,蒲田,0.2 ,0.1 ,0.3 ,0.1 ,0.0 ,0.0 ,0.3 ,0.0 ,0.3 ,0.0 ,0.0 ,0.7 ,0.4 ,0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.4 ,0.0 ,0.0 ,1.8 
,お台場・東京湾,10.2 ,18.6 ,14.2 ,7.3 ,5.2 ,6.4 ,4.8 ,8.7 ,2.4 ,1.2 ,3.0 ,7.8 ,4.7 ,4.3 ,5.5 ,4.6 ,5.7 ,4.2 ,9.5 ,7.7 ,12.3 ,4.6 
,吉祥寺・三鷹,2.0 ,1.7 ,5.5 ,1.0 ,2.2 ,0.3 ,2.1 ,0.0 ,0.9 ,0.4 ,1.1 ,2.0 ,0.0 ,0.0 ,0.7 ,0.3 ,0.7 ,0.0 ,0.7 ,0.0 ,0.6 ,0.0 
,八王子・高尾山,0.9 ,0.4 ,1.3 ,0.7 ,1.3 ,0.7 ,0.3 ,0.8 ,0.9 ,0.8 ,3.1 ,1.3 ,0.4 ,0.0 ,0.7 ,0.3 ,1.8 ,1.1 ,0.0 ,2.7 ,0.7 ,1.7 
,伊豆諸島・小笠原諸島,0.4 ,0.0 ,0.4 ,0.7 ,1.0 ,0.0 ,0.9 ,0.0 ,0.1 ,0.4 ,0.3 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,2.2 ,0.6 ,0.0 ,0.0 ,0.6 ,0.0 
,その他,0.7 ,0.9 ,0.9 ,0.4 ,0.9 ,0.5 ,0.2 ,0.8 ,1.2 ,0.8 ,1.8 ,1.8 ,1.1 ,0.7 ,1.5 ,0.5 ,1.8 ,0.6 ,0.5 ,0.0 ,0.6 ,0.0 
,全体,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
,標本数,11104,1437,1884,2118,630,736,362,248,1102,232,279,157,283,181,200,348,128,185,208,161,139,86
