,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,原宿・表参道・青山,渋谷,六本木・赤坂,新宿・大久保,恵比寿・代官山,池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,.お台場・東京湾,吉祥寺・三鷹,八王子・高尾山,伊豆諸島・小笠原諸島,その他
日本食を楽しむ,22.5,3.2,11.8,86.2,5.0,10.3,19.4,11.3,13.1,11.2,7.5,4.3,3.9,21.3,17.9,38.0,4.2,3.8,1.1,0.7,18.7
日本食以外の料理を楽しむ,0.8,0.1,0.4,0.3,0.0,0.2,2.9,0.4,1.0,1.0,0.7,0.2,0.0,2.1,0.2,0.0,0.4,0.0,0.0,0.0,0.0
街歩き,19.1,14.0,19.1,4.4,27.8,31.0,20.3,21.0,35.2,19.6,22.4,9.3,12.2,11.9,25.7,0.0,21.7,18.2,2.5,1.4,17.0
歴史的・伝統的な景観、寺・神社、日本庭園,15.0,0.6,0.7,0.4,7.4,0.4,1.3,1.4,1.3,0.0,7.0,66.2,12.6,5.0,1.2,0.0,0.6,1.5,1.1,3.6,7.9
自然・景勝地観光,5.6,0.4,0.4,0.0,2.8,0.5,2.0,0.7,3.8,0.1,6.4,2.5,23.8,5.9,0.3,11.1,24.5,3.7,71.4,70.6,7.3
ショッピング,12.3,58.1,62.7,1.2,46.5,42.4,14.1,44.1,19.2,44.1,23.3,7.2,1.9,11.7,11.0,0.0,21.9,8.7,0.0,0.0,6.4
美術館・博物館,0.6,0.1,0.2,0.2,0.2,0.1,4.8,0.1,0.7,0.5,16.2,0.0,4.5,0.0,0.0,0.0,0.2,47.8,1.7,0.0,0.3
テーマパーク,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.6,0.0,1.4,1.0,0.2,4.7,1.1,0.0,13.4,7.5,3.0,0.0,0.0,3.3
アミューズメント,0.0,1.9,0.3,0.0,0.1,0.9,2.0,1.0,0.0,1.0,0.7,0.2,2.4,0.6,0.3,0.0,0.7,0.0,0.0,0.0,0.0
ナイトライフ,0.4,0.2,0.3,0.0,0.1,2.9,9.2,2.1,2.5,0.8,0.1,0.0,0.0,0.9,0.6,0.0,0.2,1.2,0.0,0.0,0.0
日本の伝統文化,1.1,0.4,0.2,2.1,0.4,0.2,3.2,0.4,0.4,0.3,0.7,5.2,19.9,0.9,0.0,0.0,0.5,0.0,0.4,5.6,0.0
日本の現代文化,0.9,17.0,0.8,0.5,5.2,3.1,2.0,1.8,2.5,8.6,1.0,0.8,0.0,0.0,1.8,0.0,2.4,1.5,0.0,0.0,0.0
日本の産業、産業遺産,3.7,1.1,0.1,1.2,0.4,0.2,0.7,1.0,0.0,0.4,1.9,0.3,0.0,6.8,9.2,10.7,2.0,0.8,2.0,0.0,8.5
スポーツをする,1.2,0.1,0.0,0.0,0.2,0.0,0.0,2.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.0,0.0,1.0
スポーツ観戦,0.5,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
イベント・祭り,0.4,0.0,0.0,0.3,0.5,0.3,0.7,0.1,1.5,0.0,0.1,0.3,2.1,1.0,0.6,0.0,0.8,0.0,1.4,0.0,0.0
ホテル・旅館での滞在を楽しむ,1.8,0.1,0.5,0.1,0.0,0.7,3.9,3.3,3.3,2.6,3.0,0.4,0.0,7.2,8.4,0.0,2.2,0.5,0.0,5.2,1.2
スパ・エステ,0.5,0.0,0.2,0.0,0.1,0.1,0.0,0.2,1.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.7,6.8,0.0
親族・知人訪問,1.4,0.4,0.1,0.2,0.5,0.6,2.8,1.5,3.9,3.3,2.2,0.4,1.2,0.0,1.7,0.0,0.1,4.0,4.5,0.0,8.9
その他,9.4,1.1,1.7,1.2,1.5,5.0,7.1,6.1,9.0,4.1,4.1,1.6,8.2,21.0,20.3,14.3,3.4,2.7,8.0,3.2,19.2
無回答,2.8,0.8,0.4,1.5,1.2,1.1,3.4,1.0,1.5,0.9,1.4,0.9,1.4,2.5,1.0,12.5,1.3,2.7,2.1,2.8,0.3
合計,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
標本数,504,917,"1,419",338,675,861,395,"1,204",108,269,561,"1,247",94,106,199,11,862,195,88,53,155
