,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,"原宿・
表参道・
青山",渋谷,"六本木・
赤坂","新宿・
大久保","恵比寿・
代官山",池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,"お台場・
東京湾","吉祥寺・
三鷹",立川,"八王子・
高尾山","青梅・
御岳山",奥多摩,"伊豆諸島・
小笠原諸島",その他
日本食を楽しむ,30.5,6.4,15.8,90.6,10.2,16.7,13.8,18.4,24.3,10.3,9.9,6.2,2.4,26.3,12.1,44.8,6.2,6.5,11.2,4.6,0.0,2.6,1.7,9.2
日本食以外の料理を楽しむ,0.6,0.3,0.7,0.6,1.3,0.9,0.3,0.8,4.9,1.2,1.2,0.4,2.2,0.0,1.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
電気製品のショッピング,0.8,26.9,3.1,0.0,0.5,0.7,0.9,3.9,0.0,2.4,0.9,0.1,0.4,0.0,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.7
服・服飾雑貨のショッピング,3.1,3.5,26.2,0.3,38.5,24.1,4.9,16.5,18.6,15.0,6.5,0.8,0.0,2.2,1.4,6.9,4.5,6.6,3.2,6.7,0.0,0.0,0.0,3.9
日用雑貨、化粧品、食品、菓子類のショッピング,9.7,9.7,31.0,2.0,15.7,14.8,4.0,22.4,9.2,19.2,13.5,2.8,3.9,1.2,9.2,0.0,5.8,4.6,13.9,0.0,0.0,0.0,0.0,3.7
その他のショッピング,2.3,12.8,6.1,1.1,5.6,9.8,0.4,4.1,2.8,8.1,1.9,0.9,3.0,0.0,3.1,0.0,1.9,5.9,6.1,1.5,0.0,0.0,0.0,1.8
伝統文化の見学,0.3,0.4,0.4,0.7,0.6,0.4,0.1,1.1,0.0,0.2,1.8,2.0,2.9,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0
伝統文化の体験,0.5,0.2,0.1,0.2,0.4,0.2,0.2,0.3,0.0,0.3,0.3,1.4,0.2,0.4,0.0,0.0,0.2,0.0,0.0,1.2,0.0,0.0,3.2,0.0
伝統建築の見学・伝統的な街並み・施設の遊覧,7.5,0.6,0.2,1.9,6.1,0.9,1.7,1.1,0.0,2.2,6.3,69.3,2.0,1.6,1.7,0.0,0.2,5.4,0.0,1.8,2.6,0.0,1.2,3.2
最新の日本文化に触れる,0.6,27.5,0.7,0.0,0.9,2.4,1.6,1.1,5.6,9.4,0.7,0.8,2.3,5.2,2.0,0.0,3.2,4.1,0.0,3.8,1.3,0.0,0.0,10.7
高層ビル、近代的な街並み・景観・建築物の探索,22.6,4.0,7.3,0.7,6.7,17.5,16.7,6.3,13.4,3.7,4.0,3.8,54.8,26.8,9.7,14.9,8.7,3.3,14.1,4.7,2.8,2.5,7.0,5.1
