,10代,20代,30代,40代,50代,60代,70代以上,無回答,合計,標本数
全体 ,5.5,34.3,27.8,17.5,8.5,3.7,0.6,2.1,100,"12,959"
韓国 ,7.2,39.1,22.1,17.7,7.5,2.4,0.4,3.6,100,"1,666"
台湾,4.6,29.1,30.1,20.4,10.0,4.0,0.7,1.0,100,"2,112"
中国 ,6.8,32.8,32.5,16.9,5.9,3.6,0.4,1.1,100,"2,674"
香港 ,4.4,30.7,28.7,18.2,12.7,3.1,0.6,1.7,100,794
タイ ,5.1,32.2,32.2,16.9,9.4,2.7,0.5,1.0,100,710
シンガポール,2.5,26.7,28.0,22.5,11.8,5.7,0.9,1.8,100,338
マレーシア,4.2,26.7,29.3,23.1,12.7,2.4,0.3,1.3,100,289
米国,4.3,31.9,23.6,15.2,14.5,7.0,1.7,1.7,100,"1,336"
カナダ ,3.5,31.8,23.2,16.2,11.7,9.3,1.2,3.1,100,258
英国,4.0,25.2,26.9,19.2,15.0,4.9,2.0,2.8,100,312
ドイツ ,8.8,23.6,30.6,16.3,15.3,3.4,0.0,2.0,100,203
フランス,4.8,35.4,22.4,15.8,10.5,7.5,1.3,2.4,100,290
イタリア,6.0,25.7,27.3,21.8,10.0,6.0,0.8,2.4,100,204
スペイン,3.1,24.9,41.7,16.1,9.5,3.7,0.0,1.0,100,217
オーストラリア ,5.1,40.7,24.9,11.5,7.5,7.3,1.9,1.0,100,487
インド,0.6,29.4,35.3,22.9,6.8,2.7,0.0,2.3,100,160
インドネシア,5.8,34.7,26.5,17.6,8.9,1.6,1.4,3.6,100,215
フィリピン ,4.1,29.3,30.2,19.8,12.4,3.0,0.9,0.3,100,340
ベトナム,2.2,30.5,26.1,23.1,12.6,3.3,1.1,1.1,100,178
ロシア ,2.4,29.5,32.1,22.3,6.2,5.6,0.0,1.8,100,162
その他,0.0,67.6,14.6,4.2,0.0,4.2,0.0,9.4,100,14
