,全体,,,,,,,,,,,,,,,,,,,,,
食事施設,84.6,,,,,,,,,,,,,,,,,,,,,
宿泊施設,76.2,,,,,,,,,,,,,,,,,,,,,
観光施設,83.2,,,,,,,,,,,,,,,,,,,,,
交通機関,79.2,,,,,,,,,,,,,,,,,,,,,
おもてなし,88.2,,,,,,,,,,,,,,,,,,,,,
"外国語
対応能力",40.9,,,,,,,,,,,,,,,,,,,,,
案内標識,64.8,,,,,,,,,,,,,,,,,,,,,
観光情報,68.9,,,,,,,,,,,,,,,,,,,,,
両替,59.9,,,,,,,,,,,,,,,,,,,,,
クレジットカード等,75.8,,,,,,,,,,,,,,,,,,,,,
標本数,"12,843",,,,,,,,,,,,,,,,,,,,,
