,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体 ,39.8 ,16.5 ,10.1 ,18.5 ,14.7 ,0.4 ,100,"12,959"
韓国 ,27.0 ,17.8 ,11.9 ,21.6 ,21.5 ,0.2 ,100,"1,666"
台湾,19.4 ,16.5 ,13.3 ,30.5 ,19.4 ,1.0 ,100,"2,112"
中国 ,60.5 ,14.2 ,8.0 ,10.0 ,7.0 ,0.3 ,100,"2,674"
香港 ,12.1 ,15.9 ,10.8 ,33.9 ,26.4 ,0.9 ,100,794
タイ ,40.6 ,19.0 ,10.5 ,22.0 ,7.9 ,0.0 ,100,710
シンガポール,26.5 ,19.1 ,11.0 ,24.0 ,19.1 ,0.2 ,100,338
マレーシア,51.5 ,17.7 ,9.0 ,12.9 ,8.8 ,0.0 ,100,289
米国,58.8 ,16.2 ,7.5 ,8.7 ,8.8 ,0.1 ,100,"1,336"
カナダ ,61.3 ,14.3 ,7.4 ,10.4 ,6.2 ,0.4 ,100,258
英国,62.4 ,8.5 ,4.8 ,12.0 ,12.3 ,0.0 ,100,312
ドイツ ,54.1 ,14.7 ,5.9 ,10.4 ,14.8 ,0.0 ,100,203
フランス,53.6 ,13.9 ,10.0 ,11.9 ,10.3 ,0.4 ,100,290
イタリア,71.2 ,11.4 ,3.2 ,7.3 ,7.0 ,0.0 ,100,204
スペイン,80.4 ,8.3 ,2.9 ,6.0 ,2.4 ,0.0 ,100,217
オーストラリア ,64.2 ,18.9 ,4.8 ,8.7 ,3.4 ,0.0 ,100,487
インド,66.4 ,12.5 ,6.3 ,10.2 ,4.5 ,0.0 ,100,160
インドネシア,57.6 ,20.2 ,8.3 ,8.5 ,5.4 ,0.0 ,100,215
フィリピン ,48.9 ,20.4 ,8.2 ,15.3 ,6.9 ,0.3 ,100,340
ベトナム,61.5 ,18.0 ,6.1 ,8.7 ,5.8 ,0.0 ,100,178
ロシア ,54.7 ,16.1 ,9.9 ,9.3 ,10.0 ,0.0 ,100,162
その他,36.6 ,26.9 ,12.6 ,4.2 ,19.8 ,0.0 ,100,14
