,ホテル,旅館,ホステル・ドミトリー・カプセルホテル,親戚・知人宅,寮、保養所、研修所,その他,無回答,合計,標本数
全体,74.4,6.2,8.3,7.4,2.7,7.4,0.4,106.7,"12,415"
韓国,66.1,4.1,13.7,9.1,3.1,8.5,0.1,104.8,"1,721"
台湾,79.3,9.7,6.5,5.2,1.8,4.3,0.5,107.2,"1,961"
中国,80.2,7.1,2.2,6.1,2.8,4.9,0.7,103.9,"2,509"
香港,76.8,7.1,9.6,5.7,0.7,4.7,0.2,104.8,789
タイ,77.1,9.3,11.7,8.2,1.5,2.7,0.8,111.3,648
シンガポール,75.6,5.8,3.9,5.3,2.3,16.5,0.6,110.0,348
マレーシア,70.8,2.6,5.4,5.1,3.3,15.4,0.4,103.0,238
米国,71.6,4.1,7.4,9.3,2.6,15.0,0.4,110.5,"1,225"
カナダ,60.5,6.8,13.7,8.9,0.4,25.4,0.4,116.0,270
英国,78.8,5.0,9.9,6.9,0.3,10.9,0.3,112.2,303
ドイツ,73.2,3.3,11.7,8.4,1.4,10.7,0.0,108.7,204
フランス,61.3,9.1,11.1,12.5,2.4,21.9,0.0,118.4,296
イタリア,72.6,9.8,11.6,10.2,0.0,9.6,0.5,114.2,191
スペイン,74.1,9.4,11.7,5.8,1.7,8.7,0.3,111.7,197
オーストラリア,74.4,5.1,10.7,3.2,1.1,20.9,0.0,115.3,473
インド,78.7,0.7,2.6,8.6,3.9,6.7,0.0,101.2,155
インドネシア,71.3,4.4,6.8,7.8,0.8,12.8,0.3,104.0,238
フィリピン,53.9,1.8,4.7,20.5,3.3,18.5,0.4,103.0,300
ベトナム,78.2,2.1,4.0,7.9,7.0,1.4,0.7,101.3,148
ロシア,79.4,5.5,5.9,11.5,1.8,5.4,0.7,110.2,160
その他,78.3,0.8,17.0,11.1,9.6,4.7,0.0,121.5,41
