,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体 ,39.6,15.4,9.8,18.7,16.2,0.2,100,"13,321"
韓国,24.4,16.6,10.4,21.7,26.5,0.4,100,"2,707"
台湾 ,24.6,17.9,12.8,26.1,18.3,0.3,100,"2,876"
中国 ,60.4,12.4,7.5,9.9,9.6,0.1,100,"2,617"
香港,23.1,12,11.6,26.2,27.2,0,100,"1,003"
タイ,45.9,20.6,11,15.3,6.8,0.4,100,646
シンガポール ,32.5,25.3,8.6,20.3,13.2,0,100,219
マレーシア,47.7,16.1,13.9,14.8,7.5,0,100,212
米国,46,13.8,8.8,14.8,16.6,0.1,100,694
カナダ ,56.5,17,5.9,12.4,8.2,0,100,150
英国,53.3,11.9,7.6,14.9,12.3,0,100,206
ドイツ,45.1,17.4,7.6,12.2,17.6,0,100,127
フランス,47.6,10.1,11.7,15.9,13.6,1.1,100,160
イタリア ,49,16.6,8.6,12.2,13.6,0,100,78
スペイン,71.8,9.7,3.6,9.8,5.1,0,100,63
オーストラリア ,56.7,17.7,8.4,10.4,6.7,0.1,100,292
インド ,50.4,16.9,8.2,12.8,11.7,0,100,71
インドネシア ,45.7,12.4,13.8,18.4,9.6,0,100,144
フィリピン ,59.5,16.8,5.6,10.3,7.1,0.7,100,170
ベトナム ,65,15.1,8.9,6.3,4.7,0,100,118
ロシア ,45.4,13,12.8,17.6,11.3,0,100,48
その他 ,59.1,11.5,3.7,21.7,3.9,0,100,720
