,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
食事施設,85.3,73.3,88.9,86.6,90.3,88.4,95.0,86.3,96.2,96.2,95.5,95.1,90.8,85.7,88.3,95.0,88.3,85.9,97.3,82.9,89.0,93.8
宿泊施設,76.3,63.3,79.8,78.3,76.9,82.1,86.9,83.7,92.6,87.8,92.6,77.5,84.3,79.5,81.9,88.9,84.4,86.9,92.4,76.9,78.2,77.1
観光施設,83.2,67.0,91.2,89.5,84.9,80.4,87.9,88.8,91.7,89.1,91.1,80.0,77.5,75.7,86.7,91.3,89.5,88.7,94.8,84.8,85.0,84.5
交通機関,77.8,51.9,86.5,87.0,78.9,87.9,88.6,91.2,92.4,91.4,95.7,89.5,90.5,94.6,92.1,94.4,93.6,89.7,95.5,91.4,78.3,78.7
おもてなし,88.4,78.7,90.1,93.1,89.5,85.4,94.4,90.0,95.9,94.2,95.8,94.0,87.7,93.3,94.6,95.6,93.4,90.4,94.8,70.5,95.4,93.3
"外国語
対応能力",43.2,28.8,51.6,52.1,42.5,33.9,48.3,41.1,68.5,53.8,66.8,27.7,30.7,16.2,26.5,70.2,32.1,30.3,47.6,31.8,32.2,16.8
案内標識,67.4,48.6,76.7,80.7,69.6,56.9,68.5,71.0,73.5,69.0,73.8,55.6,58.4,46.9,53.8,76.5,68.8,63.8,67.2,70.4,64.6,59.7
観光情報,69.2,45.0,80.7,79.7,71.9,59.7,78.8,80.2,84.0,76.1,81.2,74.5,72.7,61.2,79.8,84.9,76.4,74.6,85.0,63.7,70.8,67.9
両替,63.9,40.6,68.3,77.2,64.6,60.0,68.4,60.3,84.9,74.1,73.1,59.9,65.6,61.4,75.8,75.2,74.6,67.3,79.6,55.3,64.3,90.3
クレジットカード等,74.2,45.5,86.9,88.1,83.1,78.2,83.7,83.1,73.9,65.4,72.4,68.5,61.6,51.3,61.6,75.7,81.9,76.0,83.5,75.6,69.8,78.4
標本数,"13,045","1,771","2,059","2,665",802,700,355,263,"1,298",278,307,212,300,198,204,484,174,251,335,179,169,41
