,,全体,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
一番満足した場所,東京駅周辺・丸の内・日本橋,4.5,4.2,5.3,3.8,2.4,4.4,6.6,2.9,5.9,3.5,3.1,3.2,2.3,3.2,8.3,2.9,8.8,2.7,5.7,9.7,4.9,22.7
,秋葉原,9.5,10.2,6.0,7.3,11.5,5.3,9.0,12.3,8.3,10.6,6.9,11.2,8.7,8.6,10.0,10.9,11.6,8.5,7.4,9.0,11.7,18.0
,銀座,11.5,5.8,5.2,6.9,25.1,7.0,7.1,9.5,7.6,5.1,5.7,9.5,7.4,9.3,9.8,7.4,7.7,8.3,8.0,10.6,9.2,0.0
,築地,1.9,0.8,2.7,4.2,1.2,4.1,2.8,4.9,4.0,5.4,1.4,0.5,3.6,3.6,0.7,1.7,0.5,2.8,2.9,0.5,1.6,0.0
,原宿・表参道・青山,6.5,7.3,7.1,8.6,4.5,6.7,9.5,5.5,6.9,7.4,7.1,4.7,5.6,5.4,3.9,6.9,1.8,11.6,2.5,2.3,2.2,12.4
,渋谷,7.8,7.3,5.0,6.1,3.6,13.1,11.3,16.1,14.5,13.2,14.4,16.0,16.1,13.7,15.9,18.4,5.4,17.5,21.7,8.8,12.8,23.1
,六本木・赤坂,3.1,4.3,3.7,3.0,2.3,1.4,1.9,1.6,4.4,4.6,3.0,3.1,2.2,4.4,2.8,3.2,3.5,1.0,2.4,1.0,2.1,0.0
,新宿・大久保,10.7,12.1,8.8,15.0,9.2,15.9,16.3,8.6,11.7,9.3,12.0,8.4,12.1,8.0,8.2,16.2,7.3,10.6,7.7,6.1,5.4,5.6
,恵比寿・代官山,0.9,1.3,0.9,0.9,0.7,0.3,0.9,1.4,0.5,0.8,2.5,0.5,1.1,1.0,1.3,1.1,1.1,1.0,0.0,0.0,0.0,0.0
,池袋,3.0,2.7,3.6,5.7,3.8,1.3,2.1,1.6,0.9,1.2,1.4,2.1,2.1,1.2,0.6,0.8,0.7,1.4,0.7,0.9,1.1,0.0
,上野,5.2,3.4,9.6,5.8,4.0,11.2,4.0,4.3,3.8,6.2,4.3,6.2,5.6,6.8,7.1,4.2,4.1,6.1,8.1,1.5,6.9,0.0
,浅草,9.5,6.5,13.4,7.2,10.4,10.8,7.5,10.8,8.8,9.4,11.3,11.6,11.8,12.5,12.5,6.2,7.3,11.4,7.4,11.1,9.1,12.4
,墨田・両国,0.7,0.4,1.3,0.8,0.6,1.0,0.8,1.2,1.1,0.0,1.0,0.6,0.8,0.4,1.0,1.1,2.0,0.7,1.0,0.9,1.1,0.0
,新橋・汐留,0.9,1.1,1.2,0.6,0.8,0.0,0.5,0.3,1.0,0.8,1.8,0.5,0.0,0.8,0.0,0.8,3.6,0.6,1.0,0.0,0.0,0.0
,品川,0.9,0.6,0.9,0.4,1.0,0.9,1.3,1.4,1.7,0.8,1.4,2.1,1.9,2.0,0.3,0.7,2.3,0.0,1.0,0.0,0.7,0.0
,蒲田,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
,お台場・東京湾,7.4,12.8,9.0,6.2,4.8,3.9,4.6,3.1,2.8,5.4,5.2,0.5,2.3,4.6,4.3,3.1,11.7,6.9,7.8,3.6,9.4,5.6
,吉祥寺・三鷹,1.2,1.1,2.7,1.5,1.0,0.4,0.0,1.2,0.8,1.5,0.3,0.5,0.9,0.0,1.7,0.7,0.0,0.0,0.4,0.0,0.0,0.0
,立川,0.2,0.3,0.4,0.1,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.3,0.0,1.8,0.3,0.0,0.0,0.0,0.0
,八王子・高尾山,0.5,0.3,0.9,0.7,0.4,0.2,0.0,1.3,0.6,1.2,0.4,0.5,1.2,0.4,0.6,0.3,0.6,0.0,0.0,0.5,0.0,0.0
,青梅・御岳山,0.1,0.1,0.1,0.1,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.8,0.4,0.4,0.3,0.0,0.0,0.4,0.5,0.7,0.0
,奥多摩,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.3,2.2,0.0,0.0,0.0,0.0,0.0
,伊豆諸島・小笠原諸島,0.3,0.0,0.6,0.7,0.3,0.0,0.0,0.4,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.3,0.0,0.5,0.0
,その他,0.7,1.0,0.7,0.6,0.5,0.4,0.5,0.0,0.9,0.8,0.3,2.0,1.2,0.0,1.1,0.5,0.0,0.7,2.8,0.0,0.0,0.0
,無回答,12.8,16.5,10.4,13.4,11.6,11.3,13.4,11.7,13.0,12.2,15.4,16.5,11.5,13.8,9.2,12.2,13.9,7.9,10.9,33.1,20.8,0.0
,標本数,"12,893","1,871","1,951",953,"2,571",692,360,234,"1,275",256,286,190,263,220,222,400,168,305,293,200,172,11
