,大変満足,満足,やや満足,普通,やや不満,不満,大変不満,無回答,合計,標本数
全体 ,40.5,50.5,5.1,2.9,0.3,0.1,0.1,0.5,100,"13,321"
韓国 ,21.2,58.3,9.1,9.6,1,0.4,0,0.4,100,"2,707"
台湾,30.2,63.2,4.8,1,0.2,0.1,0.1,0.4,100,"2,876"
中国 ,32.1,58.6,7.2,1.5,0.1,0,0,0.4,100,"2,617"
香港 ,38.6,55.1,4.1,1.2,0,0,0.1,0.9,100,"1,003"
タイ,54.8,41.6,0.7,1.6,0.3,0,0.2,0.6,100,646
シンガポール ,48.3,47.6,2.7,0.9,0,0,0,0.5,100,219
マレーシア,54.9,39.1,1.5,2.4,0,0,1.3,0.8,100,212
米国,74,22.7,1.1,0.9,0.2,0.3,0.4,0.6,100,694
カナダ,72.7,24.9,1.1,0.6,0.5,0,0,0.2,100,150
英国,80.6,17.6,1,0.2,0.2,0,0.4,0,100,206
ドイツ ,67,28.5,2.8,0.7,0,0.3,0.6,0,100,127
フランス,73.7,22.6,2.5,0.2,0.4,0,0.4,0.4,100,160
イタリア ,59,38.6,0.4,1,0.4,0,0,0.5,100,78
スペイン ,69.3,24.2,4,0.9,0,0,0.8,0.8,100,63
オーストラリア,80.8,17.4,0.3,0.3,0,0.3,0.5,0.5,100,292
インド,70.3,25.9,1.9,1.2,0,0,0.7,0,100,71
インドネシア ,39.1,51.9,5.4,2.3,0,0,0,1.3,100,144
フィリピン,83.1,14.1,1.5,0.7,0,0.6,0,0,100,170
ベトナム,53.8,38.3,4.7,0.5,0,0.5,0,2.2,100,118
ロシア ,75.4,17.1,2.5,2,0.4,0,0.6,2,100,48
その他,66.8,30.6,0.9,1.8,0,0,0,0,100,720
