,成田,羽田,関西,その他,無回答,合計,標本数
全体,63.8,23.3,7.6,3.6,1.7,100,"13,321"
韓国,52,43.5,1.8,2,0.7,100,"2,707"
台湾,77.4,16.7,2.2,2,1.6,100,"2,876"
中国,41.3,23.8,24.4,8.5,2,100,"2,617"
香港 ,73.6,17.3,3.7,3,2.4,100,"1,003"
タイ,70.2,14.9,11.3,2.2,1.5,100,646
シンガポール,62.8,23.7,7.4,4.2,1.8,100,219
マレーシア,85,2,9.2,1.2,2.5,100,212
米国,87.1,6.9,1.9,1.8,2.4,100,694
カナダ,80,13.5,2.1,2.4,1.9,100,150
英国 ,74.9,18.2,2.3,2.9,1.7,100,206
ドイツ,44.5,47.2,3.6,3.4,1.4,100,127
フランス,67.7,25.4,4.1,1.4,1.4,100,160
イタリア ,80.3,10,7.8,0.3,1.7,100,78
スペイン,69.2,17.1,11.1,1.8,0.8,100,63
オーストラリア,84.1,5.3,5.1,2.8,2.7,100,292
インド ,90.4,1.3,1.9,1.2,5.2,100,71
インドネシア,72,12.8,12.3,1.6,1.3,100,144
フィリピン,73.8,17.9,3.4,0.5,4.4,100,170
ベトナム,76.5,4.5,10,2.8,6.2,100,118
ロシア,88.6,4.5,1.4,1.4,4,100,48
その他 ,63.3,28.4,2,5.2,1.1,100,720
