,自分ひとり,"夫婦・
パートナー",家族・親族,職場の同僚,友人,その他,無回答,合計,標本数
全体,23.5,11.9,26.8,13.3,24.7,1.3,0.5,102.0,"12,893"
韓国,27.8,4.5,21.8,17.3,28.2,1.7,0.4,101.8,"1,871"
台湾,20.0,13.0,37.5,7.9,22.4,0.4,0.4,101.6,"1,951"
香港,24.5,20.3,26.3,6.1,23.7,0.4,0.2,101.5,953
中国,20.0,12.8,27.6,17.5,22.7,0.6,0.6,101.8,"2,571"
タイ,11.4,15.3,27.2,15.8,34.9,1.4,1.0,107.1,692
シンガポール,16.9,14.3,43.1,3.2,24.1,0.6,0.0,102.1,360
マレーシア,15.3,8.2,46.2,10.5,20.3,1.7,0.0,102.2,234
米国,34.2,16.8,19.6,10.0,19.9,2.2,0.3,103.1,"1,275"
カナダ,27.6,17.9,18.7,7.8,31.1,0.8,0.4,104.3,256
英国,34.2,25.0,10.1,10.9,19.5,1.3,0.4,101.4,286
ドイツ,36.5,16.1,12.5,10.8,23.1,1.0,1.0,100.9,190
フランス,33.5,22.8,11.9,9.4,24.0,0.0,0.3,102.0,263
イタリア,35.2,24.6,16.7,11.7,12.6,0.5,0.0,101.2,220
スペイン,25.3,31.1,14.4,8.6,21.9,0.3,0.6,102.3,222
オーストラリア,17.3,26.4,20.2,3.4,33.3,0.5,1.3,102.4,400
インド,40.4,6.7,11.0,29.7,10.6,1.1,1.3,100.7,168
インドネシア,14.0,12.3,40.1,11.0,24.6,1.1,0.9,104.0,305
フィリピン,23.0,12.4,39.1,5.0,20.4,1.1,0.3,101.3,293
ベトナム,30.9,7.0,22.5,29.4,7.8,0.5,2.8,100.9,200
ロシア,34.5,15.0,19.7,18.5,13.0,0.0,0.6,101.3,172
その他,33.9,5.6,12.4,0.0,36.5,11.6,0.0,100.0,11
