,成田,羽田,関西,その他,無回答,合計,標本数
全体,65.4,20.2,10.4,3.0,1.0,100.0,"12,893"
韓国,76.0,20.0,1.8,1.6,0.7,100.0,"1,871"
台湾,76.5,19.0,2.1,1.4,1.0,100.0,"1,951"
香港,71.2,21.2,4.0,2.4,1.3,100.0,953
中国,46.7,21.5,24.4,6.0,1.5,100.0,"2,571"
タイ,77.4,13.4,7.8,0.6,0.7,100.0,692
シンガポール,51.7,32.8,7.4,6.4,1.7,100.0,360
マレーシア,79.3,6.6,11.1,2.0,1.0,100.0,234
米国,71.6,22.6,3.6,1.4,0.8,100.0,"1,275"
カナダ,73.4,23.4,1.2,0.8,1.2,100.0,256
英国,58.2,34.7,4.6,0.7,1.7,100.0,286
ドイツ,61.7,31.9,3.8,1.6,1.0,100.0,190
フランス,60.0,34.0,4.0,1.1,0.9,100.0,263
イタリア,74.4,17.5,6.3,1.4,0.4,100.0,220
スペイン,72.2,17.3,8.2,1.4,0.9,100.0,222
オーストラリア,68.1,23.8,6.5,1.1,0.6,100.0,400
インド,96.5,1.6,1.4,0.0,0.5,100.0,168
インドネシア,62.8,25.3,10.9,0.9,0.0,100.0,305
フィリピン,78.9,16.0,3.8,0.9,0.4,100.0,293
ベトナム,61.6,14.3,15.6,5.9,2.6,100.0,200
ロシア,95.9,1.2,2.3,0.0,0.6,100.0,172
その他,39.9,11.6,42.9,5.6,0.0,100.0,11
