,自分ひとり,夫婦・パートナー,家族・親族,職場の同僚,友人,その他,無回答,合計,標本数
全体 ,26.2,12,23.7,18.5,19.6,1.6,0.9,102.5,"13,321"
韓国 ,31.5,4.6,14.1,26.6,20.2,3.4,1.2,101.6,"2,707"
台湾 ,18.2,12.4,36.6,11,23.1,0.7,0.9,103.1,"2,876"
中国 ,22.5,11,27.6,25.3,14.6,0.8,0.7,102.6,"2,617"
香港,17.9,22,32.6,9.4,18,0.2,1.1,101.4,"1,003"
タイ,15.1,10.6,28.8,21.5,29.1,2,0.7,107.9,646
シンガポール ,22,12,29.2,13.9,21.9,0.6,1.3,100.9,219
マレーシア ,26.7,8.2,22.5,19.5,22,2.3,0.2,101.4,212
米国,41.5,15.8,11.8,16,14.9,1.2,1.2,102.4,694
カナダ,33.9,23.3,18.6,8.5,16.4,0.8,0.5,102.1,150
英国,39.4,22.6,6.7,16.9,13.9,1.2,1.2,102,206
ドイツ,51.9,12.3,6.3,15.1,9.9,5.9,0,101.4,127
フランス,41.8,13.5,13.8,12.1,17.1,0.8,1.3,100.5,160
イタリア ,40,21,10.1,14,13.8,1.6,1.5,101.9,78
スペイン,29.1,28.3,7.4,10.8,23.7,0.8,3.2,103.2,63
オーストラリア ,24.1,34.1,11.8,4.1,26.7,0.3,1.2,102.2,292
インド ,51.8,1.8,8.7,26.1,11.6,0,1.2,101.2,71
インドネシア,17.7,8.7,19.2,35.3,14.1,4.8,0.9,100.7,144
フィリピン,27.4,10.7,28.4,11.3,22.6,1,1.7,103,170
ベトナム,28.3,3.7,9.3,23.5,27.6,10.2,1.7,104.2,118
ロシア,34.7,14.9,12.8,22.9,12.9,2,1.1,101.2,48
その他,43,12,9.7,14.9,21.3,1.1,0,102,720
