,地下鉄,地下鉄以外の鉄道,空港リムジンバス,貸切バス,定期観光バス,路線バス,タクシー,水上バス・屋形船,船（都内移動のみ）,自転車,親族・知人の車,レンタカー,その他,無回答,合計,標本数
全体,57.9,74.0,16.2,15.8,3.1,6.0,20.3,1.3,0.8,0.8,3.2,2.2,1.2,0.9,203.7,"13,045"
韓国,56.1,77.5,20.2,6.1,1.6,4.6,20.8,1.0,0.5,1.0,3.1,1.5,0.8,0.3,195.2,"1,771"
台湾,55.5,73.3,9.2,24.5,2.6,6.0,9.3,0.7,0.8,1.0,2.4,1.1,0.9,1.5,188.9,"2,059"
中国,49.1,57.6,11.1,33.1,2.4,6.5,17.1,0.3,0.5,0.3,4.1,3.2,1.4,1.5,188.3,"2,665"
香港,69.8,88.2,13.5,4.2,2.8,4.8,17.4,0.4,0.8,0.5,1.0,2.9,0.6,0.8,207.6,802
タイ,47.9,77.6,17.4,14.1,6.8,4.0,21.2,0.9,0.7,1.1,5.7,5.7,2.4,1.2,206.7,700
シンガポール,67.2,84.2,32.8,2.5,4.8,5.3,26.5,1.2,0.9,0.0,1.4,0.9,0.6,0.6,228.8,355
マレーシア,61.5,77.2,22.0,6.7,6.1,6.9,20.0,1.5,0.0,0.0,1.4,2.8,3.2,0.7,210.0,263
米国,69.4,84.0,19.2,3.4,2.2,9.9,44.4,1.1,0.9,1.1,4.0,0.8,1.6,0.7,242.7,"1,298"
カナダ,76.6,88.2,16.4,2.4,2.3,14.4,28.9,1.5,1.1,2.2,2.5,0.7,1.8,0.3,239.4,278
英国,71.4,83.0,20.0,2.6,2.3,8.1,43.2,2.6,3.3,0.6,2.9,1.3,1.3,0.6,243.3,307
ドイツ,69.8,89.2,18.2,2.8,1.9,4.9,31.6,1.5,3.0,1.9,2.0,2.0,1.8,0.0,230.6,212
フランス,76.9,84.4,20.1,0.4,2.0,11.8,28.2,1.6,2.6,3.7,2.6,0.3,1.7,1.1,237.4,300
イタリア,77.0,85.6,18.1,0.6,2.8,6.4,36.6,1.5,1.1,2.0,2.1,1.1,0.4,1.4,236.6,198
スペイン,82.3,89.9,14.2,1.4,2.1,9.5,29.5,2.1,3.8,0.5,1.5,0.5,1.0,0.0,238.3,204
オーストラリア,74.5,87.8,16.5,4.2,3.9,6.5,39.2,1.2,2.4,2.5,1.5,1.2,0.8,0.8,243.1,484
インド,47.5,68.2,32.4,11.5,5.4,9.2,40.2,0.0,2.3,0.0,1.8,1.7,1.0,1.4,222.6,174
インドネシア,54.4,83.7,18.7,6.8,6.5,12.9,26.9,0.7,0.5,0.9,2.2,2.0,2.8,0.0,218.9,251
フィリピン,58.4,81.6,19.1,3.7,4.1,11.2,31.5,1.5,1.4,2.4,13.3,2.9,1.6,0.5,233.2,335
ベトナム,30.1,61.2,14.0,16.6,6.7,6.1,20.2,0.0,0.6,1.7,6.8,10.0,3.8,0.6,178.4,179
ロシア,72.2,84.6,22.8,4.7,6.0,11.9,35.0,4.4,3.6,1.6,6.5,1.8,1.8,0.0,257.0,169
その他,88.6,96.9,42.5,0.0,15.5,2.4,30.0,15.5,1.6,0.0,1.6,1.6,0.0,0.0,296.0,41
