,宿泊費,飲食費,都内交通費,娯楽入場費,土産買物費,その他,都内支出額合計
全体,"30,952","23,820","9,929","2,978","64,183","1,868","133,731"
韓国,"23,083","18,073","7,749","3,264","21,710","1,978","75,857"
台湾,"20,583","18,203","7,762","2,863","48,533",754,"98,697"
香港,"32,508","27,632","10,923","2,735","65,538",476,"139,812"
中国,"29,373","27,849","8,821","1,461","135,587","3,510","206,600"
タイ,"23,273","15,952","7,977","4,060","39,314",460,"91,036"
シンガポール,"52,406","29,088","11,896","3,667","46,956","6,488","150,502"
マレーシア,"30,070","22,329","9,103","2,460","33,615",446,"98,022"
米国,"61,297","36,651","14,227","4,829","25,746","1,096","143,845"
カナダ,"42,285","25,925","11,844","4,418","27,521","1,111","113,105"
英国,"58,471","27,394","9,489","3,432","13,887",308,"112,981"
ドイツ,"57,355","30,664","11,773","4,077","20,725","1,098","125,692"
フランス,"53,888","29,086","17,593","5,594","23,611","3,140","132,912"
イタリア,"44,470","43,421","23,058","4,768","48,206","1,066","164,988"
スペイン,"51,336","36,177","33,392","6,681","23,848",858,"152,292"
オーストラリア,"51,039","31,304","15,797","7,540","28,457","1,384","135,521"
インド,"43,784","16,972","9,031","2,062","20,367",687,"92,902"
インドネシア,"30,183","18,330","7,344","3,188","37,625",238,"96,909"
フィリピン,"23,086","15,893","6,861","2,313","38,980",599,"87,733"
ベトナム,"27,277","14,078","6,370",847,"58,065","1,059","107,696"
ロシア,"34,686","33,827","12,168","6,265","34,545",926,"122,417"
その他,"87,097","39,642","37,234","8,875","16,202",603,"189,653"
