,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体,48.1,18.0,9.8,13.7,9.7,0.7,100.0,"12,893"
韓国,42.9,18.2,10.7,14.4,12.8,0.9,100.0,"1,871"
台湾,29.0,21.9,15.0,20.2,12.9,1.0,100.0,"1,951"
香港,24.9,18.4,14.4,23.5,17.4,1.4,100.0,953
中国,61.4,17.1,6.7,8.3,6.0,0.5,100.0,"2,571"
タイ,43.9,23.2,9.4,17.3,6.1,0.1,100.0,692
シンガポール,36.7,17.0,16.3,17.9,11.9,0.3,100.0,360
マレーシア,51.5,19.7,10.7,12.5,5.6,0.0,100.0,234
米国,61.3,15.0,6.4,10.1,7.0,0.1,100.0,"1,275"
カナダ,73.8,11.7,3.5,5.9,5.0,0.0,100.0,256
英国,63.6,12.2,6.3,10.6,7.4,0.0,100.0,286
ドイツ,59.7,15.0,5.5,8.0,11.8,0.0,100.0,190
フランス,57.7,14.4,5.8,13.1,8.9,0.0,100.0,263
イタリア,65.3,13.9,5.7,8.6,6.0,0.5,100.0,220
スペイン,73.7,15.4,4.8,3.7,2.5,0.0,100.0,222
オーストラリア,60.6,18.2,6.4,9.6,5.3,0.0,100.0,400
インド,53.8,14.4,6.4,17.0,7.9,0.5,100.0,168
インドネシア,53.7,21.4,9.1,12.0,3.8,0.0,100.0,305
フィリピン,53.2,17.5,10.7,13.7,4.5,0.4,100.0,293
ベトナム,67.3,17.7,4.9,5.8,2.6,1.7,100.0,200
ロシア,60.8,14.5,6.2,10.9,6.9,0.7,100.0,172
その他,71.7,5.6,5.6,11.6,5.6,0.0,100.0,11
