,,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
一番満足した場所,東京駅周辺・丸の内・日本橋,4.7,4.9,5.8,3.9,3.1,4.2,4.6,3.1,6.3,3.6,2.6,2.4,3.9,4.0,2.6,6.4,9.2,2.8,2.8,0.7,3.4,9.7
,秋葉原,8.9,9.3,6.3,11.6,7.5,6.7,8.3,14.1,8.6,11.0,8.0,16.8,13.5,10.9,15.9,4.8,9.7,8.6,6.9,9.7,5.2,2.8
,銀座,13.3,6.0,5.0,32.3,5.7,7.3,10.4,6.5,7.5,6.0,6.9,4.6,4.6,10.3,7.1,7.5,14.6,14.2,8.3,19.2,17.3,3.7
,築地,2.8,1.4,3.4,1.2,5.6,3.9,5.6,4.7,5.5,4.6,5.3,2.9,0.7,6.2,9.0,3.1,1.1,2.3,2.3,2.8,4.3,6.9
,原宿・表参道・青山,8.2,9.9,8.7,6.9,12.0,7.2,10.6,7.4,8.1,9.5,3.8,4.9,6.1,3.6,8.0,10.3,3.6,13.7,5.1,3.6,0.8,0.0
,渋谷,8.1,9.8,4.7,2.6,8.7,16.7,12.1,13.5,15.1,18.4,17.0,19.7,17.0,17.9,12.8,18.3,7.0,21.8,25.5,12.6,13.9,3.7
,六本木・赤坂,3.0,5.2,2.7,1.5,3.0,1.1,1.6,0.4,6.3,2.0,5.4,3.7,3.0,1.7,1.6,4.4,5.3,1.4,4.3,2.0,3.2,0.9
,新宿・大久保,12.6,14.7,11.0,10.0,17.4,14.8,18.0,12.3,13.0,16.6,14.1,10.1,12.1,7.3,13.4,19.7,9.5,5.7,15.3,11.7,5.0,7.8
,恵比寿・代官山,1.1,1.8,1.4,0.6,0.7,0.4,1.5,1.3,1.8,1.6,1.5,2.4,1.1,0.4,0.0,1.0,0.8,0.6,0.0,0.0,1.5,0.9
,池袋,3.5,2.8,4.9,3.8,7.4,3.4,1.7,2.0,1.3,2.0,1.8,2.2,1.1,2.2,0.8,1.3,2.2,0.3,2.0,0.7,1.5,0.0
,上野,6.1,4.4,10.0,5.0,8.8,11.5,5.5,6.5,3.6,4.5,5.1,6.3,6.8,7.5,4.6,5.3,1.3,4.6,5.4,3.6,9.9,0.0
,浅草,12.6,9.2,15.7,10.7,9.0,14.1,8.4,15.0,9.5,8.7,11.2,15.8,19.9,14.7,14.0,9.6,14.4,11.3,7.7,15.3,10.9,46.8
,墨田・両国,1.2,0.9,1.4,0.9,1.0,1.1,0.4,1.5,1.9,0.9,3.0,1.0,1.1,0.6,0.5,2.9,3.5,2.3,1.3,2.1,2.1,0.9
,新橋・汐留,1.1,1.1,1.3,0.7,1.5,0.2,1.3,0.7,1.9,0.8,2.3,1.7,0.8,0.5,0.8,0.7,1.8,0.5,0.0,1.4,1.5,1.8
,品川,1.6,1.8,1.0,0.7,0.6,1.4,0.8,0.9,2.8,1.7,4.1,1.8,1.5,0.9,0.5,0.7,4.9,2.3,2.4,2.0,0.7,10.3
,蒲田,0.1,0.2,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0
,お台場・東京湾,7.4,14.1,9.8,4.4,4.5,4.4,6.3,4.7,2.9,4.3,3.8,3.2,3.0,7.6,6.3,1.6,6.6,6.4,6.6,9.7,12.5,0.9
,吉祥寺・三鷹,1.2,1.1,2.9,0.6,1.7,0.2,1.3,1.9,1.0,0.4,2.3,0.0,1.5,1.8,0.8,0.5,1.4,0.0,0.6,0.0,0.6,0.9
,八王子・高尾山,0.7,0.2,1.5,0.8,0.4,0.8,1.4,1.7,0.8,0.4,1.1,0.0,0.3,0.0,0.5,0.9,0.0,0.0,1.6,0.8,0.8,0.0
,青梅・御岳山,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.9,0.0,0.0,0.0
,奥多摩,0.1,0.0,0.3,0.1,0.1,0.0,0.0,0.9,0.1,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,伊豆諸島・小笠原諸島,0.4,0.1,0.6,0.8,0.3,0.3,0.0,0.0,0.2,0.3,0.4,0.0,0.3,0.0,0.0,0.0,1.2,0.0,0.0,0.7,1.4,0.9
,その他,1.0,1.2,1.5,0.7,0.9,0.3,0.4,0.9,1.5,1.9,0.4,0.0,1.1,1.7,0.3,0.9,2.1,1.1,0.6,1.4,3.8,0.9
,標本数,"13,045","1,771","2,059","2,665",802,700,355,263,"1,298",278,307,212,300,198,204,484,174,251,335,179,169,41
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
