,平成25年,平成26年
全体,"114,519","135,039"
韓国 ,"74,929","82,788"
台湾 ,"90,727","96,812"
中国 ,"191,741","231,590"
香港 ,"127,083","163,687"
タイ ,"88,509","97,387"
シンガポール ,"135,377","161,060"
マレーシア ,"107,159","124,863"
米国 ,"114,721","137,384"
カナダ ,"98,579","113,810"
英国 ,"114,394","134,169"
ドイツ ,"97,949","129,644"
フランス ,"106,771","173,776"
イタリア ,"99,288","112,083"
スペイン ,"129,558","126,691"
オーストラリア ,"105,993","134,369"
インド,"123,700","167,079"
インドネシア ,‐,"84,067"
フィリピン ,‐,"123,088"
ベトナム,‐,"110,216"
ロシア,‐,"135,078"
その他 ,‐,"114,228"
