,平成28年度,平成27年度
全体 ,"131,871","151,626"
韓国 ,"74,771","81,477"
台湾,"100,767","117,037"
中国 ,"203,816","248,457"
香港 ,"137,465","162,393"
タイ ,"90,351","113,941"
シンガポール,"164,758","162,363"
マレーシア,"83,056","112,324"
米国,"130,885","142,459"
カナダ ,"104,771","107,843"
英国,"147,476","127,431"
ドイツ ,"133,688","119,175"
フランス,"112,463","127,851"
イタリア,"142,593","142,478"
スペイン,"105,279","122,803"
オーストラリア ,"128,775","136,899"
インド,"114,806","161,681"
インドネシア,"103,160","107,904"
フィリピン ,"81,752","99,718"
ベトナム,"119,100","148,929"
ロシア ,"122,080","171,302"
その他,"141,074","119,614"
