,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,"原宿・
表参道・
青山",渋谷,"六本木・
赤坂","新宿・
大久保","恵比寿・
代官山",池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,"お台場・
東京湾","吉祥寺・
三鷹","八王子・
高尾山","青梅・
御岳山",奥多摩,"伊豆諸島・
小笠原諸島",その他
日本食を楽しむ,35.9,4.3,17.7,92.1,8.0,14.6,18.6,17.3,18.4,12.1,12.7,5.2,2.4,19.4,19.0,16.3,5.4,5.3,6.5,0.0,0.0,5.7,9.3
日本食以外の料理を楽しむ,1.5,0.2,1.2,0.0,1.0,1.5,0.7,2.0,0.8,0.9,0.2,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
電気製品のショッピング,1.2,27.7,2.1,0.1,0.8,0.9,0.0,2.3,0.0,2.8,1.3,0.1,0.3,0.0,0.0,0.0,0.8,1.6,0.0,0.0,0.0,0.0,0.0
服・服飾雑貨のショッピング,4.9,5.0,29.3,0.7,42.6,24.1,4.6,14.6,16.0,8.9,8.4,1.2,1.8,1.4,1.9,4.7,6.8,7.5,0.9,0.0,0.0,0.0,5.2
日用雑貨、化粧品、食品、菓子類のショッピング,5.2,11.7,28.9,0.4,14.0,15.0,1.7,19.6,5.2,20.5,12.0,1.9,1.8,2.5,3.0,0.0,5.4,13.1,0.0,0.0,9.5,0.0,9.2
その他のショッピング,1.7,11.2,5.0,0.7,6.4,9.2,2.5,3.7,3.5,9.3,3.5,1.1,1.2,2.6,2.1,6.0,1.5,1.4,1.6,0.0,0.0,0.0,0.4
伝統文化の見学,0.2,0.0,0.4,0.1,0.1,0.2,0.5,0.1,0.0,0.3,0.5,1.4,7.6,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
伝統文化の体験,0.2,0.1,0.3,0.1,0.4,0.1,0.6,0.3,0.9,0.0,0.3,1.4,0.0,0.0,0.0,0.0,0.5,0.6,0.5,0.0,0.0,0.0,0.6
伝統建築の見学,6.0,0.4,0.3,1.0,8.0,1.7,0.6,1.1,1.5,0.2,5.1,64.7,2.5,0.0,1.5,0.0,0.3,4.1,5.4,13.9,7.2,1.0,3.9
最新の日本文化に触れる,2.1,21.5,0.1,0.0,1.4,1.6,3.3,0.9,2.2,8.0,0.4,0.6,1.2,0.0,1.6,0.0,2.3,5.1,0.0,11.6,0.0,0.0,8.8
