,男性,女性,無回答,合計,標本数
全体,51.4,47.5,1.0,100.0,"12,893"
韓国,56.1,42.7,1.2,100.0,"1,871"
台湾,47.6,51.7,0.6,100.0,"1,951"
香港,48.0,51.0,0.9,100.0,953
中国,47.5,51.8,0.8,100.0,"2,571"
タイ,37.7,58.7,3.6,100.0,692
シンガポール,54.7,44.0,1.4,100.0,360
マレーシア,50.4,48.1,1.5,100.0,234
米国,64.0,34.4,1.6,100.0,"1,275"
カナダ,59.8,39.8,0.4,100.0,256
英国,61.0,37.6,1.4,100.0,286
ドイツ,71.9,27.0,1.1,100.0,190
フランス,64.0,36.0,0.0,100.0,263
イタリア,65.7,33.4,0.9,100.0,220
スペイン,60.1,39.1,0.8,100.0,222
オーストラリア,57.8,41.4,0.8,100.0,400
インド,81.2,18.3,0.5,100.0,168
インドネシア,50.8,47.9,1.3,100.0,305
フィリピン,43.1,56.6,0.3,100.0,293
ベトナム,56.0,40.9,3.1,100.0,200
ロシア,52.4,43.2,4.4,100.0,172
その他,52.0,48.0,0.0,100.0,11
