,ホテル,旅館,ホステル・ドミトリー・カプセルホテル,寮、保養所、研修所,親族・知人宅,民泊,その他,無回答,合計,標本数
全体,74.1,4.7,5.9,2.6,6.7,9.0,1.7,1.4,106.1,"12,459"
韓国,65.5,5.7,11.0,2.8,9.0,10.1,2.0,1.2,107.3,"1,848"
台湾,78.3,5.5,5.1,2.0,5.3,7.3,0.8,1.5,105.8,"1,916"
香港,85.7,3.0,3.5,0.3,4.3,7.3,0.3,0.4,104.8,936
中国,79.6,3.7,1.0,3.2,5.7,6.7,1.7,1.9,103.6,"2,458"
タイ,76.0,8.9,9.8,1.4,8.5,5.8,0.3,2.7,113.4,638
シンガポール,81.3,3.0,3.2,0.2,4.2,15.5,0.8,0.6,108.7,350
マレーシア,75.1,2.8,5.5,1.8,4.9,13.0,0.4,0.9,104.3,228
米国,72.4,3.1,8.8,1.2,7.2,13.5,1.7,2.0,110.0,"1,219"
カナダ,68.7,3.9,11.2,1.6,4.0,19.4,2.4,0.8,111.9,251
英国,72.5,2.5,12.3,0.3,7.1,14.2,2.2,0.0,111.1,279
ドイツ,71.0,2.3,12.5,2.6,9.0,7.8,1.1,0.5,106.8,185
フランス,54.5,7.8,20.6,3.1,11.6,19.8,1.7,0.4,119.4,259
イタリア,74.0,6.7,6.9,2.6,8.8,8.4,4.2,0.0,111.6,213
スペイン,77.1,3.7,9.3,1.8,3.6,10.7,0.5,1.5,108.1,217
オーストラリア,71.1,4.4,9.1,0.6,3.8,24.4,1.0,0.2,114.6,390
インド,71.2,0.9,6.0,3.8,7.3,4.7,5.0,1.6,100.6,150
インドネシア,69.4,1.1,7.9,3.3,3.8,17.2,0.8,0.7,104.3,297
フィリピン,60.7,1.1,4.7,1.8,16.2,12.9,2.5,2.3,102.1,272
ベトナム,76.6,1.5,1.0,2.5,8.5,2.6,2.4,5.8,101.0,175
ロシア,76.2,2.5,7.5,1.5,6.9,7.7,1.7,0.0,103.9,167
その他,53.2,12.4,0.0,11.6,5.6,5.6,11.6,0.0,100.0,11
