,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体,47.8,17.8,8.6,13.6,11.4,0.7,100.0,"13,045"
韓国,44.2,17.6,8.5,15.3,14.0,0.3,100.0,"1,771"
台湾,33.8,21.4,12.6,17.6,13.1,1.5,100.0,"2,059"
中国,61.9,16.1,6.5,8.9,5.9,0.8,100.0,"2,665"
香港,25.3,21.4,13.0,23.4,15.9,1.0,100.0,802
タイ,41.2,22.1,11.5,17.5,7.1,0.5,100.0,700
シンガポール,34.1,23.6,10.2,20.4,11.0,0.7,100.0,355
マレーシア,44.3,21.9,10.5,15.6,7.8,0.0,100.0,263
米国,62.0,12.9,6.3,10.8,7.8,0.2,100.0,"1,298"
カナダ,66.4,13.6,5.4,8.8,5.4,0.4,100.0,278
英国,57.0,16.7,6.9,11.0,8.1,0.3,100.0,307
ドイツ,53.9,12.0,8.2,12.3,13.0,0.6,100.0,212
フランス,57.4,15.2,8.3,10.2,8.4,0.3,100.0,300
イタリア,65.7,13.1,4.0,10.8,5.8,0.6,100.0,198
スペイン,79.4,11.6,2.1,4.5,2.4,0.0,100.0,204
オーストラリア,60.9,17.5,6.3,10.2,5.2,0.0,100.0,484
インド,59.5,14.5,5.0,15.0,6.0,0.0,100.0,174
インドネシア,55.0,23.6,5.6,9.8,6.1,0.0,100.0,251
フィリピン,57.7,18.8,8.3,11.2,3.7,0.3,100.0,335
ベトナム,61.8,15.2,9.5,8.9,4.0,0.6,100.0,179
ロシア,64.0,12.3,4.7,10.7,8.4,0.0,100.0,169
その他,46.5,9.8,2.4,1.6,39.8,0.0,100.0,41
