,ホテル,旅館,"ホステル・
ドミトリー・
カプセルホテル","親戚・
知人宅","寮、
保養所、
研修所",その他,無回答,合計,標本数
全体 ,73.4,6.6,8.0,8.3,2.9,7.7,0.4,107.2,"12,311"
韓国 ,63.5,4.9,13.1,10.4,3.4,9.2,0.4,104.8,"1,604"
台湾,78.3,9.6,6.0,7.0,1.5,3.7,0.4,106.6,"2,043"
中国 ,80.7,7.2,2.0,6.6,2.5,4.1,0.6,103.8,"2,533"
香港 ,79.8,5.9,6.6,5.3,1.2,4.5,0.2,103.6,783
タイ ,75.6,10.9,14.4,7.6,2.6,2.3,0.1,113.4,639
シンガポール,74.2,3.9,5.0,6.6,2.4,15.5,0.3,108.0,327
マレーシア,75.6,1.6,6.3,5.4,2.3,10.9,0.4,102.6,270
米国,73.1,4.8,9.6,9.1,2.1,12.2,0.2,111.1,"1,272"
カナダ ,66.8,5.7,15.5,6.1,1.6,19.3,0.0,115.1,244
英国,82.2,3.8,10.2,4.8,0.9,6.2,0.0,108.2,305
ドイツ ,69.1,5.7,13.4,10.2,0.0,12.3,0.5,111.3,194
フランス,59.6,8.4,11.6,18.7,1.7,20.4,0.4,120.7,277
イタリア,79.1,11.9,7.3,4.3,1.4,11.0,0.5,115.5,196
スペイン,75.8,4.7,11.2,2.9,1.7,15.6,0.3,112.1,208
オーストラリア ,65.2,5.7,15.7,5.9,2.0,25.5,0.0,120.1,482
インド,73.0,0.0,4.2,6.7,6.3,11.9,0.0,102.1,129
インドネシア,71.4,5.5,7.5,8.9,3.2,7.7,0.0,104.1,206
フィリピン ,57.1,1.4,6.2,22.2,1.3,17.5,0.0,105.6,290
ベトナム,72.1,2.1,2.6,10.5,8.9,3.2,0.7,100.0,153
ロシア ,76.7,3.5,2.8,11.4,7.0,1.4,0.0,102.8,142
その他,51.2,4.2,19.8,17.8,17.8,24.9,0.0,135.5,14
