,宿泊費,飲食費,都内交通費,娯楽入場費,土産買物費,その他,都内支出額計,平均泊数,標本数
全体 ,"30,240","23,714","9,298","3,062","64,117","1,440","131,871",6.4,"12,849"
韓国 ,"23,060","18,226","7,559","3,007","21,026","1,893","74,771",6.1,"1,655"
台湾,"23,363","19,165","8,156","2,866","46,396",821,"100,767",5.8,"2,107"
中国 ,"25,940","26,146","8,079","2,005","139,769","1,877","203,816",7.2,"2,661"
香港 ,"34,200","30,677","9,798","3,096","58,658","1,036","137,465",4.8,793
タイ ,"21,653","16,913","8,056","3,564","38,906","1,259","90,351",6.9,703
シンガポール,"43,744","32,486","20,740","9,690","51,611","6,486","164,758",6.0,334
マレーシア,"21,936","17,646","9,049",949,"33,124",352,"83,056",4.6,287
米国,"57,444","32,894","12,778","3,932","22,934",903,"130,885",6.3,"1,322"
カナダ ,"43,673","24,724","8,717","3,742","22,888","1,027","104,771",5.7,257
英国,"78,149","29,079","10,703","4,901","23,736",909,"147,476",6.9,308
ドイツ ,"48,062","33,485","17,246","3,866","29,710","1,320","133,688",7.4,199
フランス,"48,220","26,536","9,394","5,467","22,085",762,"112,463",8.4,283
イタリア,"70,098","29,035","17,213","3,732","20,868","1,646","142,593",7.4,199
スペイン,"36,182","22,802","15,239","7,184","22,892",981,"105,279",7.5,215
オーストラリア ,"48,212","31,534","10,668","5,845","31,477","1,038","128,775",6.8,484
インド,"55,520","27,454","10,865","2,252","18,386",329,"114,806",15.0,159
インドネシア,"31,674","15,617","7,029","3,394","44,993",452,"103,160",7.1,214
フィリピン ,"20,122","15,852","9,278","2,703","33,233",565,"81,752",8.4,326
ベトナム,"32,962","19,903","9,841","2,780","52,013","1,600","119,100",11.3,170
ロシア ,"44,360","26,211","11,806","5,864","29,942","3,897","122,080",12.6,159
その他,"64,260","33,275","20,723","7,119","15,698",0,"141,074",5.4,14
