,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体 ,51.2 ,16.5 ,8.0 ,13.0 ,10.7 ,0.5 ,100.0 ,13069
韓国 ,47.4 ,15.0 ,7.5 ,13.5 ,15.9 ,0.7 ,100.0 ,1783
台湾,36.2 ,21.6 ,12.1 ,18.0 ,11.2 ,0.9 ,100.0 ,2181
中国 ,69.2 ,13.2 ,4.7 ,7.5 ,5.2 ,0.3 ,100.0 ,2333
香港 ,22.3 ,18.9 ,12.5 ,24.0 ,21.8 ,0.6 ,100.0 ,727
タイ ,44.9 ,22.2 ,10.1 ,14.6 ,6.7 ,1.5 ,100.0 ,838
シンガポール,36.6 ,20.4 ,10.1 ,19.9 ,12.8 ,0.2 ,100.0 ,409
マレーシア,47.3 ,17.8 ,9.1 ,11.9 ,13.5 ,0.4 ,100.0 ,285
米国,54.8 ,15.7 ,6.3 ,10.7 ,12.2 ,0.3 ,100.0 ,1356
カナダ ,57.0 ,15.7 ,7.5 ,9.3 ,10.1 ,0.4 ,100.0 ,284
英国,55.6 ,13.4 ,6.8 ,12.9 ,10.9 ,0.3 ,100.0 ,357
ドイツ ,52.6 ,13.1 ,8.5 ,14.4 ,10.2 ,1.1 ,100.0 ,199
フランス,57.4 ,16.3 ,3.9 ,12.1 ,10.0 ,0.3 ,100.0 ,332
イタリア,64.1 ,14.2 ,5.0 ,7.8 ,8.9 ,0.0 ,100.0 ,216
スペイン,74.9 ,9.3 ,3.4 ,7.5 ,4.9 ,0.0 ,100.0 ,229
オーストラリア ,63.7 ,18.2 ,5.3 ,7.3 ,5.2 ,0.2 ,100.0 ,435
インド,52.2 ,17.8 ,8.6 ,13.3 ,6.9 ,1.2 ,100.0 ,160
インドネシア,50.9 ,17.2 ,9.4 ,14.1 ,8.0 ,0.4 ,100.0 ,217
フィリピン ,59.0 ,17.7 ,7.7 ,8.2 ,7.4 ,0.0 ,100.0 ,241
ベトナム,64.8 ,11.8 ,8.2 ,8.3 ,5.2 ,1.7 ,100.0 ,193
ロシア ,54.7 ,13.8 ,8.0 ,15.4 ,8.1 ,0.0 ,100.0 ,175
その他,66.3 ,14.8 ,5.9 ,8.9 ,4.1 ,0.0 ,100.0 ,119
