,,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他,
一番期待していた場所,東京駅周辺・丸の内・日本橋,5.9,4.2,2.7,3.5,3.6,3.5,3.2,7.4,8.1,7.0,4.4,2.3,4.6,0.7,4.1,18.1,5.1,3.4,7.5,7.2,4.9,
,秋葉原,12.2,4.5,15.0,7.2,7.4,5.1,9.1,8.0,10.0,12.3,11.3,13.1,8.7,11.1,8.6,16.8,14.7,6.1,22.8,9.7,9.0,
,銀座,7.7,5.9,27.1,13.7,8.8,11.2,13.7,11.4,10.7,11.1,11.3,6.0,18.8,9.0,9.6,11.2,11.6,12.8,16.6,18.4,1.7,
,築地,0.9,5.8,1.5,7.9,2.3,7.3,3.5,4.6,4.7,3.1,4.2,2.1,5.3,6.7,5.3,0.0,0.0,2.2,2.2,0.0,0.0,
,原宿・表参道・青山,7.9,6.3,2.8,6.8,7.1,10.0,1.1,6.0,7.8,12.5,4.8,6.6,5.7,6.6,9.9,9.2,6.1,3.6,2.5,5.5,1.7,
,渋谷,7.5,2.0,3.2,5.2,15.2,7.4,8.8,14.2,14.9,14.9,13.5,25.2,18.2,22.7,14.7,5.6,8.3,13.4,2.4,8.7,32.4,
,六本木・赤坂,4.6,1.2,0.7,2.5,1.0,2.5,3.8,10.4,3.7,4.3,2.2,6.5,5.4,5.3,4.4,3.5,2.4,3.0,3.1,6.8,3.0,
,新宿・大久保,13.6,5.4,8.5,13.8,19.8,14.6,9.8,10.8,9.8,9.0,7.3,9.1,6.1,7.1,17.0,5.4,7.6,8.7,7.4,2.6,9.0,
,恵比寿・代官山,1.5,0.7,0.5,0.7,0.0,1.0,0.0,0.7,0.8,0.8,0.0,2.7,0.8,1.2,1.1,0.0,0.0,0.0,0.0,1.3,0.0,
,池袋,2.3,1.6,2.0,3.5,1.5,0.3,0.9,1.4,1.6,0.7,1.1,0.5,0.4,0.0,1.1,2.9,1.7,0.7,1.1,2.1,0.0,
,上野,2.7,4.4,3.7,5.0,4.4,2.8,4.3,2.7,4.1,3.7,6.9,5.2,4.4,6.6,2.2,1.4,4.4,3.4,1.1,5.8,7.9,
,浅草,6.6,10.8,12.1,4.6,10.2,11.1,9.5,8.2,12.9,9.5,15.2,12.9,11.9,15.7,6.9,12.4,9.8,4.0,15.8,8.1,7.7,
,墨田・両国,0.4,1.0,0.5,0.3,0.2,0.4,1.3,1.4,0.0,0.0,1.3,1.3,0.0,0.0,1.0,1.4,0.0,2.6,0.0,2.6,0.0,
,新橋・汐留,0.7,0.4,0.7,0.2,0.5,1.2,1.2,1.3,0.8,0.7,1.2,0.0,0.0,0.0,0.8,0.0,1.4,3.4,0.0,0.0,0.0,
,品川,1.5,1.0,1.4,0.5,0.3,1.7,1.6,3.3,2.7,2.1,5.1,1.0,0.9,0.4,0.9,2.3,0.9,1.9,0.0,0.0,6.5,
,蒲田,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,
,お台場・東京湾,12.3,7.4,3.5,6.5,4.5,3.4,6.9,2.0,1.6,3.0,6.2,1.6,1.2,5.2,3.2,4.3,14.0,2.2,6.3,6.0,6.5,
,吉祥寺・三鷹,1.3,3.9,1.0,2.8,0.0,0.4,1.1,0.5,0.8,1.6,0.0,0.0,3.0,0.0,0.6,0.0,0.0,0.9,0.0,0.0,0.0,
,八王子・高尾山,0.3,1.4,0.4,1.3,0.0,1.0,0.7,1.1,1.2,0.4,0.7,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,
,伊豆諸島・小笠原諸島,0.1,0.6,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.9,0.0,0.8,0.0,0.0,0.0,1.1,1.3,0.0,
,標本数,"2,707","2,876","2,617","1,003",646,219,212,694,150,206,127,160,78,63,292,71,144,170,118,48,720,
