,ホテル,旅館,ホステル,親戚宅,ウィークリーマンション,寮,別荘,その他,無回答,合計,標本数
全体 ,79.7,6.5,4.7,8.7,1.3,2.4,0.5,2.3,0.9,107,"12,716"
韓国 ,71.1,4.5,6.9,13.8,1,4.3,0,3.6,0.5,105.6,"2,624"
台湾 ,85.2,9.4,2.4,6,1.1,1.1,0.3,0.9,0.8,107.2,"2,781"
中国 ,81.1,6.1,0.7,6.5,2,3.7,0.8,1.4,1.4,103.9,"2,439"
香港,90.3,4.4,0.5,3.4,0.6,1.5,0.4,0.4,1.4,102.9,984
タイ,80.5,14.8,7.3,9.5,0.9,1.3,0.2,1.7,0.7,116.8,605
シンガポール ,86.8,4.8,3.9,4.9,0,1.6,1.1,2.8,1.6,107.4,214
マレーシア ,86,2.5,5.1,5.5,0.4,0.9,0,3.6,0.6,104.6,192
米国,81.5,3.6,5.8,10.2,1,1.1,0.8,4.4,0.8,109.3,646
カナダ,77.7,7.4,14.6,9.5,0.5,0.9,1.7,5.5,0.3,118.1,143
英国,79.8,5.9,7.4,11.1,0.6,0.8,2.3,2.2,0.2,110.2,199
ドイツ,82.3,4.4,5.1,11.5,1.3,1.8,0,3.7,0,110.1,125
フランス,70.7,8,7.6,14.6,0.3,2.6,2,6.2,0.2,112.2,155
イタリア ,83,5.1,2.6,9.1,0,3.7,0,4,1.3,108.6,75
スペイン,75.7,11.3,15.5,10.3,1.9,0.8,0,2.7,0,118.3,61
オーストラリア ,77.9,4.3,9.4,7.2,1.5,1.2,1.8,7.2,0.5,111,286
インド ,79.8,0.8,1.6,9.8,2.3,2,0,4.5,0,100.8,60
インドネシア,83.2,2.1,4.4,6.9,1.2,4.8,0,1.8,0.6,104.9,133
フィリピン,65.9,0,4.5,15.8,1.3,3.8,1.7,5.7,2.2,100.9,152
ベトナム,71.7,4.7,8.3,10.7,0.6,3.7,0,5.1,3.4,108,105
ロシア,77.6,4.2,2.3,5.4,3.5,2.5,0,5,2.7,103.2,44
その他,70.6,7.6,16.3,12.1,4.3,0,0,1.8,0,112.7,693
