,平成30年,平成29年
全体,"140,443","133,731"
韓国,"93,341","75,857"
台湾,"109,061","98,697"
香港,"149,403","139,812"
中国,"217,918","206,600"
タイ,"97,542","91,036"
シンガポール,"146,555","150,502"
マレーシア,"111,513","98,022"
米国,"120,070","143,845"
カナダ,"116,212","113,105"
英国,"135,250","112,981"
ドイツ,"134,548","125,692"
フランス,"132,459","132,912"
イタリア,"119,147","164,988"
スペイン,"136,122","152,292"
オーストラリア,"155,182","135,521"
インド,"97,007","92,902"
インドネシア,"106,739","96,909"
フィリピン,"88,246","87,733"
ベトナム,"121,471","107,696"
ロシア,"147,003","122,417"
その他,"71,769","189,653"
