,訪問した,訪問しなかった,合計,標本数
全体,89.4 ,10.6 ,100,"15,018 "
韓国,88.9 ,11.1 ,100,"2,008 "
台湾,92.9 ,7.1 ,100,"2,348 "
中国,93.5 ,6.5 ,100,"2,492 "
香港,93.2 ,6.8 ,100,780 
タイ,85.9 ,14.1 ,100,976 
シンガポール,86.2 ,13.8 ,100,474 
マレーシア,81.5 ,18.5 ,100,350 
米国,74.7 ,25.3 ,100,"1,808 "
カナダ,77.7 ,22.3 ,100,364 
英国,87.0 ,13.0 ,100,410 
ドイツ,74.0 ,26.0 ,100,270 
フランス,87.9 ,12.1 ,100,377 
イタリア,91.8 ,8.2 ,100,237 
スペイン,94.6 ,5.4 ,100,244 
オーストラリア,88.4 ,11.6 ,100,491 
インド,72.4 ,27.6 ,100,220 
インドネシア,75.7 ,24.3 ,100,286 
フィリピン,79.4 ,20.6 ,100,304 
ベトナム,86.9 ,13.1 ,100,222 
ロシア,79.4 ,20.6 ,100,221 
その他,88.5 ,11.5 ,100,136 
