,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体,37.0,16.7,10.1,21.1,14.7,0.4,100.0,"12,893"
韓国,20.6,19.2,12.9,27.3,19.3,0.6,100.0,"1,871"
台湾,13.7,14.9,14.4,33.8,22.4,0.6,100.0,"1,951"
香港,14.9,11.7,10.3,31.0,30.7,1.3,100.0,953
中国,55.7,17.4,6.9,11.6,8.2,0.2,100.0,"2,571"
タイ,35.9,21.3,11.0,22.1,9.7,0.0,100.0,692
シンガポール,32.9,13.7,16.0,23.3,14.3,0.0,100.0,360
マレーシア,42.4,20.9,8.0,20.6,8.1,0.0,100.0,234
米国,58.3,14.8,7.5,11.6,7.8,0.0,100.0,"1,275"
カナダ,70.7,11.7,4.3,7.5,5.8,0.0,100.0,256
英国,61.8,11.5,7.4,11.3,8.0,0.0,100.0,286
ドイツ,59.1,12.4,6.6,10.1,11.8,0.0,100.0,190
フランス,56.1,14.8,5.6,13.0,10.6,0.0,100.0,263
イタリア,62.3,15.3,5.7,9.9,6.4,0.5,100.0,220
スペイン,73.0,14.8,5.2,4.6,2.5,0.0,100.0,222
オーストラリア,57.2,19.5,6.2,10.8,6.3,0.0,100.0,400
インド,51.8,12.2,6.8,18.2,11.0,0.0,100.0,168
インドネシア,52.2,20.1,8.8,15.1,3.8,0.0,100.0,305
フィリピン,46.7,20.1,9.0,19.0,5.1,0.0,100.0,293
ベトナム,61.4,19.5,7.5,7.2,3.5,0.9,100.0,200
ロシア,57.4,12.7,5.7,14.4,9.7,0.0,100.0,172
その他,71.7,5.6,5.6,11.6,5.6,0.0,100.0,11
