,,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
期待した場所,東京駅周辺・丸の内・日本橋,4.9 ,4.4 ,5.3 ,2.8 ,4.4 ,6.9 ,3.7 ,7.5 ,6.9 ,9.2 ,7.6 ,7.0 ,3.3 ,5.1 ,1.8 ,4.4 ,9.5 ,4.5 ,7.1 ,5.2 ,4.8 ,14.2 
,秋葉原,13.7 ,14.6 ,9.2 ,18.7 ,8.6 ,8.1 ,10.9 ,13.0 ,9.3 ,11.8 ,14.0 ,7.8 ,16.8 ,15.3 ,18.6 ,9.4 ,9.4 ,12.4 ,10.6 ,21.5 ,16.4 ,19.3 
,銀座,14.6 ,6.8 ,4.9 ,33.4 ,10.7 ,7.9 ,16.1 ,12.4 ,10.8 ,8.4 ,7.9 ,6.9 ,9.9 ,10.2 ,10.9 ,8.3 ,10.0 ,16.5 ,12.9 ,19.5 ,17.8 ,0.0 
,築地,3.5 ,0.6 ,5.9 ,1.7 ,6.8 ,3.2 ,8.3 ,3.5 ,6.0 ,8.8 ,2.8 ,6.0 ,2.7 ,6.3 ,11.6 ,5.2 ,0.0 ,2.0 ,3.6 ,2.1 ,3.2 ,7.1 
,原宿・表参道・青山,7.5 ,10.1 ,10.1 ,2.6 ,13.8 ,9.5 ,8.7 ,3.0 ,7.1 ,9.3 ,6.0 ,7.2 ,6.7 ,3.7 ,6.6 ,12.9 ,1.6 ,4.8 ,4.8 ,2.9 ,3.1 ,4.2 
,渋谷,7.4 ,8.4 ,3.8 ,2.3 ,5.7 ,16.0 ,10.2 ,12.2 ,15.5 ,16.4 ,15.1 ,18.8 ,21.6 ,18.4 ,17.4 ,18.7 ,13.0 ,15.6 ,18.2 ,9.5 ,8.2 ,13.2 
,六本木・赤坂,3.0 ,5.3 ,1.9 ,0.9 ,3.0 ,0.8 ,4.9 ,3.2 ,7.7 ,4.6 ,4.3 ,6.5 ,2.4 ,8.8 ,5.4 ,2.9 ,9.0 ,1.9 ,3.2 ,0.6 ,6.6 ,4.7 
,新宿・大久保,11.6 ,13.3 ,9.9 ,9.3 ,17.3 ,18.4 ,15.7 ,13.5 ,11.3 ,13.9 ,15.5 ,8.1 ,7.8 ,7.3 ,5.1 ,20.2 ,8.0 ,13.1 ,10.6 ,10.8 ,7.4 ,5.5 
,恵比寿・代官山,0.9 ,1.9 ,1.1 ,0.6 ,0.7 ,0.4 ,0.0 ,0.0 ,0.8 ,0.0 ,0.0 ,0.0 ,0.9 ,0.7 ,0.6 ,1.1 ,0.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
,池袋,2.7 ,3.1 ,2.3 ,2.8 ,4.3 ,1.0 ,1.4 ,0.9 ,1.2 ,0.5 ,0.0 ,3.1 ,0.4 ,0.7 ,0.0 ,1.1 ,0.7 ,1.4 ,2.6 ,0.6 ,1.6 ,5.9 
