,,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
一番満足していた場所,東京駅周辺・丸の内・日本橋,6.6,4.0,3.1,3.8,3.5,3.3,3.2,7.3,6.2,7.7,2.8,3.3,4.2,1.1,3.4,12.9,5.4,4.7,5.9,7.8,1.1
,秋葉原,8.1,3.8,12.8,6.5,7.7,4.0,8.6,6.2,7.0,8.2,9.0,10.3,9.6,8.6,5.9,13.5,11.5,4.5,24.9,8.0,7.0
,銀座,8.2,6.2,25.6,12.8,6.9,11.8,13.4,11.1,11.0,10.6,11.8,6.1,13.6,10.1,9.8,11.8,14.4,11.3,14.6,17.2,5.2
,築地,1.3,4.9,1.4,6.5,2.0,5.4,2.6,3.9,2.5,3.1,2.1,2.7,2.8,3.7,4.4,0.0,0.0,2.5,1.3,0.0,0.0
,原宿・表参道・青山,7.6,5.9,3.5,7.6,6.2,9.6,1.2,6.8,7.9,9.4,8.5,5.1,4.8,5.9,10.4,4.2,5.1,4.1,3.0,4.9,2.4
,渋谷,6.7,1.9,2.9,5.2,18.6,9.4,10.5,11.6,12.8,12.1,11.8,18.9,18.2,21.7,16.9,12.0,9.6,14.3,4.9,8.0,25.2
,六本木・赤坂,5.2,1.7,0.7,2.9,1.3,4.1,4.4,10.6,4.8,4.9,6.5,7.4,4.5,6.1,5.1,3.1,3.2,2.1,1.2,3.4,8.4
,新宿・大久保,12.3,6.0,9.4,14.6,18.5,13.1,10.9,10.7,9.6,10.6,6.9,8.7,9.9,6.5,14.3,6.7,4.9,12.9,8.1,4.4,12.7
,恵比寿・代官山,1.7,1.0,0.5,0.8,0.0,1.7,0.0,1.5,0.9,0.8,1.3,3.1,1.4,1.6,1.4,0.0,0.0,0.0,0.6,1.0,0.0
,池袋,2.4,1.9,3.0,5.2,1.4,1.3,0.8,1.4,0.8,1.0,1.9,1.3,0.3,1.0,1.2,3.1,2.2,0.5,1.2,3.3,1.1
,上野,4.3,5.0,3.8,6.1,5.0,2.8,5.5,4.5,8.9,4.7,5.6,6.6,6.3,9.1,4.7,4.8,6.8,4.0,1.4,4.8,6.9
,浅草,8.3,12.2,13.0,5.2,12.3,9.8,9.5,9.8,15.0,13.9,12.3,15.2,13.0,16.0,8.3,9.4,10.1,5.2,18.1,11.8,8.7
,墨田・両国,0.4,1.2,0.5,0.7,0.2,0.0,0.7,1.4,0.6,1.4,1.7,2.0,0.7,0.0,1.4,1.7,2.2,2.2,0.0,1.9,1.1
,新橋・汐留,1.5,0.6,0.8,0.3,0.4,1.3,1.4,1.7,1.6,1.9,2.5,1.9,0.6,1.0,1.2,0.0,1.3,2.3,0.0,0.9,0.0
,品川,1.8,1.2,1.5,0.7,0.1,2.5,1.3,3.7,2.5,3.3,3.8,1.4,1.0,1.0,1.9,2.3,0.6,2.1,0.8,1.7,5.2
,蒲田,0.1,0.1,0.1,0.0,0.2,0.3,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0
,お台場・東京湾,14.5,8.4,4.7,6.0,4.6,4.7,6.4,2.9,2.8,2.1,6.4,2.4,3.4,4.6,2.9,8.8,12.2,2.9,5.7,7.4,6.5
,吉祥寺・三鷹,1.1,4.2,1.0,2.2,0.0,0.9,0.9,0.3,1.2,0.8,0.4,0.8,2.4,0.0,0.4,0.8,0.6,0.7,0.6,0.8,0.0
,八王子・高尾山,0.2,1.5,0.5,1.8,0.0,0.9,0.9,0.9,0.6,0.9,0.4,0.4,0.0,0.0,0.7,0.0,0.4,0.0,0.6,0.0,0.0
,伊豆諸島・小笠原諸島,0.1,0.6,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.7,0.0,0.5,0.0,0.0,0.0,0.6,1.7,0.0
,標本数,"2,707","2,876","2,617","1,003",646,219,212,694,150,206,127,160,78,63,292,71,144,170,118,48,720
