,成田,羽田,関西,その他,無回答,合計,標本数
全体 ,62.5,21.6,12,2.9,1,100,"13,069"
韓国 ,69.1,25.7,3.7,1,0.5,100,"1,783"
台湾,68.5,26.4,2,1.9,1.3,100,"2,181"
中国 ,41.9,18.8,32.3,6.2,0.9,100,"2,333"
香港 ,67.9,25.2,2.7,2.5,1.7,100,727
タイ ,69.7,15.2,10.2,4.3,0.7,100,838
シンガポール,60.6,31.5,5.7,1.8,0.4,100,409
マレーシア,85.5,4.3,7.6,0.3,2.3,100,285
米国,88.5,7.5,1.6,1.1,1.3,100,1356
カナダ ,66.6,27.9,4,1.1,0.3,100,284
英国,63.3,32.5,3.2,0.5,0.5,100,357
ドイツ ,53.2,34.6,9.8,1.5,0.9,100,199
フランス,53.2,34.6,9.8,1.5,0.9,100,332
イタリア,87.7,8.6,2.2,1.1,0.4,100,216
スペイン,55.5,26,17.4,0,1.1,100,229
オーストラリア ,80.4,6.9,9.8,2.2,0.7,100,435
インド,90.7,3.1,3.7,1.8,0.6,100,160
インドネシア,56.5,27.7,11.3,2.7,1.8,100,217
フィリピン ,68.7,21.4,8.7,0.4,0.8,100,241
ベトナム,45.5,16.5,31.1,5,1.9,100,193
ロシア ,95.9,2.4,0,1.7,0,100,175
その他,75.9,14.1,6.4,1.8,1.8,100,119
