,日帰り,1泊,2泊,3泊,4～6泊,7～13泊,14～20泊,21泊以上,無回答,合計,標本数
全体,4.4,9.8,19.5,18.3,32.3,11.5,1.1,2.8,0.4,100.0,"13,045"
韓国,2.9,9.6,29.9,28.4,21.5,4.9,0.6,1.9,0.4,100.0,"1,771"
台湾,4.8,11.7,14.1,15.9,42.5,8.1,0.5,2.2,0.1,100.0,"2,059"
中国,5.8,14.6,22.7,13.0,28.5,9.2,1.1,4.4,0.7,100.0,"2,665"
香港,1.7,3.8,12.6,18.1,51.0,11.1,0.5,1.0,0.1,100.0,802
タイ,7.4,9.2,15.9,18.3,34.6,10.6,2.2,1.6,0.1,100.0,700
シンガポール,2.0,4.9,8.2,15.1,47.5,18.5,2.6,0.9,0.3,100.0,355
マレーシア,9.1,5.3,15.4,17.0,30.6,18.3,2.2,2.1,0.0,100.0,263
米国,5.8,6.8,10.1,16.0,33.4,21.1,3.4,3.1,0.2,100.0,"1,298"
カナダ,2.9,4.8,7.5,13.3,37.0,29.7,1.9,3.0,0.0,100.0,278
英国,1.3,3.6,9.4,24.8,35.3,20.4,2.6,2.3,0.3,100.0,307
ドイツ,3.9,4.1,6.5,14.7,37.9,27.4,2.0,3.0,0.5,100.0,212
フランス,1.4,4.4,5.0,8.9,34.3,34.3,5.3,5.7,0.6,100.0,300
イタリア,3.3,5.2,5.5,9.8,39.9,28.0,3.7,4.3,0.4,100.0,198
スペイン,2.4,3.0,6.7,13.3,43.7,24.5,3.3,3.1,0.0,100.0,204
オーストラリア,2.2,3.5,9.2,12.3,44.3,24.3,2.9,1.2,0.0,100.0,484
インド,9.9,6.6,12.8,13.0,29.9,15.1,6.5,6.2,0.0,100.0,174
インドネシア,4.9,5.6,12.7,17.5,43.9,13.1,0.0,1.9,0.4,100.0,251
フィリピン,10.4,8.1,5.7,16.8,38.3,10.8,1.8,8.0,0.0,100.0,335
ベトナム,17.4,11.5,23.7,14.5,16.4,8.1,3.3,4.4,0.6,100.0,179
ロシア,4.9,5.0,5.6,8.9,43.3,25.5,3.3,3.5,0.0,100.0,169
その他,0.0,0.8,12.5,11.4,24.9,46.5,0.0,3.9,0.0,100.0,41
