,10代,20代,30代,40代,50代,60代,70代以上,無回答,合計,標本数
全体 ,3.7,28.8,29.5,19.8,10.4,4.5,1.1,2.1,100,"13,321"
韓国 ,3.7,33.1,26.7,17.9,10.4,3.4,0.5,4.3,100,"2,707"
台湾,3.7,28.6,31.8,21.6,8.9,3.7,1.1,0.7,100,"2,876"
中国 ,3.6,27.2,34.7,17.3,9.7,4.7,1.3,1.3,100,"2,617"
香港 ,3.9,22.4,22.8,27.5,15.4,6.1,0.5,1.4,100,"1,003"
タイ ,3.8,26.9,34.9,19.9,7.6,2.9,0.5,3.5,100,646
シンガポール,2.6,27.2,28.3,22.1,12,4.8,1.5,1.4,100,219
マレーシア,3.9,28.1,29.3,22.9,10.5,3.6,1,0.7,100,212
米国,3,23,21.7,21.6,17.1,8.2,2.8,2.6,100,694
カナダ ,2,31.1,26.6,16.1,11.4,6.6,3.2,3,100,150
英国,4.1,24.8,21.9,19.4,13.3,9.2,4.2,3.2,100,206
ドイツ ,3.3,21.4,28.2,24,13.5,3.4,3,3.1,100,127
フランス,1.5,38.1,26.8,15.6,11.5,3.5,0.6,2.3,100,160
イタリア,3.1,20.9,35.7,16.9,10.6,7.7,0,5.1,100,78
スペイン,0,22.9,43.7,15.5,6.8,4.5,2.1,4.5,100,63
オーストラリア ,3.4,36.7,20,13.7,10.9,10.4,4.2,0.8,100,292
インド,1.5,20.7,39.2,25.2,9.4,2.7,0,1.3,100,71
インドネシア,7.4,27.7,26,19.2,11,2.7,0,5.9,100,144
フィリピン ,2.6,30.3,28.2,14.2,11.4,9.5,2.2,1.7,100,170
ベトナム,5.1,41.4,25.2,13.7,5.9,5.3,0,3.5,100,118
ロシア ,4,30.5,27.7,16.9,12.4,4.8,0.7,2.9,100,48
その他,5.7,32.5,29.9,21.8,6.8,2.2,0,1.1,100,720
