,訪問した,訪問しなかった,合計,標本数
全体,90.7,9.3,100.0,"14,722"
韓国,91.5,8.5,100.0,"1,935"
台湾,92.9,7.1,100.0,"2,212"
中国,93.4,6.6,100.0,"2,854"
香港,95.4,4.6,100.0,842
タイ,86.1,13.9,100.0,818
シンガポール,88.1,11.9,100.0,403
マレーシア,80.8,19.2,100.0,327
米国,79.3,20.7,100.0,"1,636"
カナダ,84.0,16.0,100.0,329
英国,84.9,15.1,100.0,362
ドイツ,82.3,17.7,100.0,255
フランス,90.5,9.5,100.0,331
イタリア,90.0,10.0,100.0,221
スペイン,93.5,6.5,100.0,220
オーストラリア,89.5,10.5,100.0,540
インド,75.2,24.8,100.0,233
インドネシア,84.2,15.8,100.0,300
フィリピン,79.8,20.2,100.0,419
ベトナム,80.0,20.0,100.0,223
ロシア,79.1,20.9,100.0,217
その他,90.0,10.0,100.0,45
,,,,
