,地域や職場、学校などの団体旅行,パッケージツアー,ツアーは利用していない（個別手配）,無回答,合計,標本数
全体 ,10.9,12.3,76.7 ,0.0,100,"12,959"
韓国 ,6.4,3.3,90.2 ,0.1,100,"1,666"
台湾,9.9,19.9,70.1 ,0.0,100,"2,112"
中国 ,21.7,19.8,58.5 ,0.0,100,"2,674"
香港 ,4.0,9.6,86.5 ,0.0,100,794
タイ ,9.5,19.5,71.0 ,0.0,100,710
シンガポール,5.7,8.7,85.6 ,0.0,100,338
マレーシア,14.2,14.3,71.5 ,0.0,100,289
米国,5.1,4.3,90.6 ,0.0,100,"1,336"
カナダ ,1.2,8.2,90.6 ,0.0,100,258
英国,5.3,5.4,89.3 ,0.0,100,312
ドイツ ,9.4,4.9,85.6 ,0.0,100,203
フランス,0.4,3.9,95.8 ,0.0,100,290
イタリア,2.4,9.9,87.7 ,0.0,100,204
スペイン,8.3,10.5,81.2 ,0.0,100,217
オーストラリア ,1.7,3.7,94.6 ,0.0,100,487
インド,6.8,5.0,88.2 ,0.0,100,160
インドネシア,9.5,6.3,84.2 ,0.0,100,215
フィリピン ,3.2,6.6,90.2 ,0.0,100,340
ベトナム,13.0,16.3,70.7 ,0.0,100,178
ロシア ,10.4,6.2,83.4 ,0.0,100,162
その他,4.2,0.0,95.8 ,0.0,100,14
