,地下鉄,地下鉄以外の鉄道,空港リムジンバス,貸切バス,定期観光バス,路線バス,タクシー,水上バス・屋形船,船（都内移動のみ）,自転車,親族・知人の車,レンタカー,その他,無回答,合計,標本数
全体,62.6,75.6,15.4,14.8,2.0,6.8,18.9,0.8,0.6,1.0,2.7,2.2,1.7,0.8,205.9,"12,893"
韓国,61.1,78.1,20.8,6.4,1.5,6.8,18.2,0.9,0.6,1.1,2.8,1.2,1.7,0.5,201.7,"1,871"
台湾,70.8,84.8,11.7,13.3,2.8,4.9,10.6,0.5,0.7,0.9,1.7,1.3,0.7,1.0,205.7,"1,951"
香港,69.7,83.1,12.2,5.9,1.7,7.6,18.5,0.1,0.5,0.3,1.5,5.2,0.8,1.1,208.2,953
中国,55.4,62.0,12.3,29.9,1.3,6.6,17.2,0.4,0.3,0.7,2.7,3.2,2.1,0.8,194.8,"2,571"
タイ,50.9,76.1,17.4,15.5,6.6,2.6,19.5,1.0,0.4,0.3,6.4,4.7,1.1,1.0,203.5,692
シンガポール,72.5,86.3,22.3,4.9,2.3,3.5,19.1,0.9,0.6,0.5,0.5,1.8,1.1,1.3,217.7,360
マレーシア,63.6,78.0,13.8,12.2,3.9,6.9,19.0,0.8,0.5,0.0,0.9,3.4,2.9,2.0,207.9,234
米国,70.7,81.8,17.7,4.2,2.9,9.8,39.0,1.6,1.1,1.1,4.0,1.0,2.7,0.8,238.5,"1,275"
カナダ,75.8,84.9,19.7,3.1,2.3,10.2,33.2,2.7,0.4,2.0,2.0,0.4,1.5,0.8,239.0,256
英国,76.5,80.6,15.0,4.6,1.4,5.5,41.3,2.0,1.6,0.7,2.8,1.4,3.1,0.4,236.8,286
ドイツ,77.6,84.6,16.2,1.6,0.5,6.6,31.1,0.6,1.7,0.5,3.2,0.0,0.0,1.0,225.1,190
フランス,81.9,87.4,14.3,1.0,1.1,12.8,25.8,2.5,1.8,3.6,1.0,0.7,2.0,0.7,236.8,263
イタリア,78.4,87.5,13.9,3.2,1.3,7.5,38.3,1.3,1.0,2.4,1.8,0.8,1.6,0.0,238.9,220
スペイン,85.5,85.8,12.2,2.8,1.2,9.4,32.8,0.6,7.9,1.0,1.9,0.3,2.3,0.3,244.1,222
オーストラリア,75.7,87.5,15.7,4.1,3.7,9.5,38.3,0.5,1.1,2.1,1.8,2.3,1.8,0.0,244.2,400
インド,59.5,78.6,33.4,5.7,2.9,4.6,35.8,3.5,4.6,2.0,3.7,4.6,2.7,0.5,242.2,168
インドネシア,63.4,85.3,11.1,8.4,5.3,10.1,25.2,0.2,1.4,1.0,2.3,2.1,1.0,0.9,217.7,305
フィリピン,65.6,80.0,18.5,5.1,3.5,10.4,26.8,1.0,0.7,0.6,3.9,3.3,3.3,1.3,223.9,293
ベトナム,31.5,59.0,15.4,27.2,1.0,4.7,16.8,0.0,0.0,0.4,9.8,0.9,6.5,1.1,174.4,200
ロシア,77.7,82.4,21.7,2.9,3.8,9.1,26.6,1.7,2.9,1.1,4.1,0.6,2.5,0.0,237.1,172
その他,54.1,76.4,18.0,24.9,0.0,11.2,12.4,5.6,0.0,5.6,5.6,0.0,0.0,0.0,213.8,11
