,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体 ,46.5,16.5,8.9,15,12.8,0.4,100,"13,321"
韓国 ,34.9,16.9,9.2,16.7,21.5,0.7,100,"2,707"
台湾,37.4,19.6,11.6,18.5,12.7,0.3,100,"2,876"
中国 ,62.6,12.9,6.4,9.4,8.4,0.2,100,"2,617"
香港 ,28.3,16.6,11.3,23.1,20.3,0.4,100,"1,003"
タイ,51.3,21.1,9.6,11.4,6,0.6,100,646
シンガポール ,39.2,25.3,8.5,15.5,11.3,0.2,100,219
マレーシア,51.3,18.8,9.2,14.7,5.7,0.3,100,212
米国,50,13.5,8.2,13.2,14.8,0.3,100,694
カナダ,59.7,16.8,4.9,10.9,7.7,0,100,150
英国,55.4,13.4,6.3,13.3,11.7,0,100,206
ドイツ ,46.8,16.4,8.7,13.6,14.4,0,100,127
フランス,51.5,11.5,11.8,14,10.7,0.4,100,160
イタリア ,54.5,13.3,8.9,11.6,11.1,0.5,100,78
スペイン ,73.2,9.8,2.7,10,4.2,0,100,63
オーストラリア,59.9,18.4,7.1,8.1,6.2,0.3,100,292
インド,56.3,15.4,6.9,10.3,11.1,0,100,71
インドネシア ,48.8,12.7,15.8,16,6.2,0.6,100,144
フィリピン,63.3,16.5,7,7.2,5.3,0.7,100,170
ベトナム,68.6,12.9,7.9,7,2.5,1.2,100,118
ロシア ,50.4,17.4,9.3,15.7,5.8,1.4,100,48
その他,61.1,13.6,4.6,17.8,2.9,0,100,720
