"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2015120101,"一の橋",1,11,30,41,9997,5,9997,9997,8,12,3,"ENE",110,60,9997
2015120102,"一の橋",1,14,31,45,2,5,29,206,4,15,2,"E",110,60,235
2015120103,"一の橋",1,40,34,74,1,7,42,212,8,18,1,"WSW",108,63,254
2015120104,"一の橋",1,54,34,88,1,8,50,217,10,19,2,"SSW",105,65,267
2015120105,"一の橋",1,58,32,90,1,7,54,220,9,18,2,"ENE",103,65,274
2015120106,"一の橋",1,32,28,60,1,5,34,209,8,18,5,"E",101,64,243
2015120107,"一の橋",2,61,33,94,1,6,44,213,1,15,4,"ENE",102,60,257
2015120108,"一の橋",1,56,35,91,1,6,36,210,3,14,3,"ENE",110,54,246
2015120109,"一の橋",1,52,37,89,4,6,31,204,3,11,4,"NE",125,45,235
2015120110,"一の橋",1,42,35,77,10,5,28,203,0,5,7,"E",135,40,231
2015120111,"一の橋",1,29,32,61,14,5,25,200,0,4,5,"E",144,36,225
2015120112,"一の橋",1,16,26,42,20,4,21,200,0,2,6,"E",152,33,221
2015120113,"一の橋",1,18,29,47,20,4,21,200,0,6,5,"ENE",159,32,221
2015120114,"一の橋",1,16,27,43,23,4,23,198,0,8,7,"E",159,31,221
2015120115,"一の橋",1,16,29,45,22,4,25,200,1,5,5,"E",164,30,225
2015120116,"一の橋",2,25,37,62,15,5,22,198,0,10,4,"ENE",165,28,220
2015120117,"一の橋",2,28,47,75,7,6,30,200,0,9,1,"ENE",159,34,230
2015120118,"一の橋",3,50,59,109,1,9,76,213,2,18,3,"SW",157,42,289
2015120119,"一の橋",2,22,41,63,9,7,49,211,9,22,5,"ENE",153,30,260
2015120120,"一の橋",1,21,35,56,9,6,28,203,4,8,4,"E",146,31,231
2015120121,"一の橋",1,15,38,53,5,6,34,208,3,13,4,"ENE",141,38,242
2015120122,"一の橋",1,13,29,42,15,5,25,205,6,14,8,"E",131,48,230
2015120123,"一の橋",2,26,29,55,14,4,17,202,1,10,8,"E",126,49,219
2015120124,"一の橋",1,15,23,38,18,4,20,201,0,8,6,"E",121,51,221
2015120201,"一の橋",1,11,22,33,16,9997,15,201,0,12,5,"ENE",115,49,216
2015120202,"一の橋",2,15,25,40,14,3,15,200,3,11,5,"ENE",114,48,215
2015120203,"一の橋",1,15,23,38,16,3,13,199,0,6,5,"E",110,48,212
