 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,998,923","2,243,560","4,755,363","27,535,359","9,093,680","18,441,679","5,031,869","1,542,684","3,489,185","18,926,790","6,175,543","12,751,247"
外航計,"4,258,704","1,059,747","3,198,957","15,762,998","4,229,853","11,533,145","4,160,487","1,011,752","3,148,735","15,337,310","4,016,639","11,320,671"
外航定期計,"4,162,194","1,011,752","3,150,442","15,353,369","4,017,589","11,335,780","4,160,487","1,011,752","3,148,735","15,337,310","4,016,639","11,320,671"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"480,375","47,162","433,213","1,568,282","269,813","1,298,469","478,668","47,162","431,506","1,566,291","269,529","1,296,762"
北米東岸(カリビア海含む),"117,034","56,388","60,646","486,838","218,382","268,456","117,034","56,388","60,646","486,838","218,382","268,456"
北欧・地中海,"476,552","251,204","225,348","2,010,725","997,121","1,013,604","476,552","251,204","225,348","2,010,294","996,690","1,013,604"
南米西岸,"48,962","3,029","45,933","157,102","13,069","144,033","48,962","3,029","45,933","157,102","13,069","144,033"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"29,897","3,107","26,790","85,168","8,577","76,591","29,897","3,107","26,790","85,168","8,577","76,591"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,695,920","453,235","1,242,685","6,738,072","1,819,277","4,918,795","1,695,920","453,235","1,242,685","6,738,072","1,819,277","4,918,795"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"152,282","35,132","117,150","543,746","129,192","414,554","152,282","35,132","117,150","543,746","129,192","414,554"
中国(香港含む),"1,161,172","162,495","998,677","3,763,436","562,158","3,201,278","1,161,172","162,495","998,677","3,749,799","561,923","3,187,876"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"96,510","47,995","48,515","409,629","212,264","197,365",-,-,-,-,-,-
内航計,"2,740,219","1,183,813","1,556,406","11,772,361","4,863,827","6,908,534","871,382","530,932","340,450","3,589,480","2,158,904","1,430,576"
内航定期計,"1,668,409","935,930","732,479","6,953,031","3,864,310","3,088,721","790,223","479,425","310,798","3,421,082","2,055,697","1,365,385"
北海道,"237,110","128,202","108,908","1,071,809","602,031","469,778","237,110","128,202","108,908","1,071,809","602,031","469,778"
東北,"35,663","16,379","19,284","149,262","74,442","74,820","35,663","16,379","19,284","149,262","74,442","74,820"
関東,"35,098","17,331","17,767","189,433","73,755","115,678",-,-,-,-,-,-
伊豆諸島,"5,828","4,104","1,724","27,941","18,833","9,108",-,-,-,-,-,-
中部,"3,231",714,"2,517","42,328","4,687","37,641","3,231",714,"2,517","42,328","4,687","37,641"
近畿,"6,320","1,169","5,151","44,589","20,987","23,602","6,320","1,169","5,151","44,589","20,987","23,602"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,217,640","673,866","543,774","4,956,881","2,724,739","2,232,142","380,380","238,796","141,584","1,642,306","1,008,714","633,592"
沖縄,"127,519","94,165","33,354","470,788","344,836","125,952","127,519","94,165","33,354","470,788","344,836","125,952"
内航不定期,"1,071,810","247,883","823,927","4,819,330","999,517","3,819,813","81,159","51,507","29,652","168,398","103,207","65,191"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
