（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,011,350",89.9%,"4,014,221",101.9%,100.0%
1,アメリカ,"256,104",84.4%,"1,013,063",103.6%,25.2%
2,中国,"231,844",83.6%,"836,714",81.8%,20.8%
,(香港),"32,137",86.1%,"132,422",96.6%,3.3%
3,ベトナム,"105,124",183.6%,"347,781",179.8%,8.7%
4,タイ,"67,947",94.8%,"292,946",108.2%,7.3%
5,台湾,"73,150",154.0%,"234,742",130.0%,5.8%
6,オランダ,"39,465",76.6%,"172,453",102.4%,4.3%
7,インドネシア,"39,783",95.2%,"158,079",115.9%,3.9%
8,韓国,"41,340",104.5%,"144,414",94.7%,3.6%
9,マレーシア,"25,006",58.4%,"136,659",94.2%,3.4%
10,インド,"13,175",40.6%,"106,245",82.0%,2.6%
11,ドイツ,"19,457",76.8%,"91,038",110.2%,2.3%
12,シンガポール,"17,940",87.9%,"75,015",101.2%,1.9%
13,フィリピン,"10,566",51.3%,"65,767",91.7%,1.6%
14,イギリス,"8,083",55.4%,"46,792",97.5%,1.2%
15,カナダ,"7,892",61.9%,"38,559",78.1%,1.0%
16,ロシア,"8,380",97.8%,"28,250",96.0%,0.7%
17,ブラジル,"5,545",111.1%,"24,656",117.8%,0.6%
18,アラブ首長国,"3,477",66.9%,"23,233",107.9%,0.6%
19,フランス,"4,137",72.0%,"19,838",97.7%,0.5%
20,オーストラリア,"5,014",102.9%,"19,641",128.3%,0.5%
,その他,"27,921",76.8%,"138,336",107.4%,3.4%
,,,,,,
