 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,758","14,695,677","7,215","56,228,840",694,"12,989,984","2,707","48,924,462"
外航計,432,"11,090,159","1,625","41,494,290",411,"10,809,661","1,547","40,512,826"
外航定期計,412,"10,816,024","1,552","40,611,930",411,"10,809,661","1,547","40,512,826"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),34,"2,363,689",120,"7,961,677",33,"2,357,326",118,"7,945,699"
北米東岸(カリビア海含む),9,"857,238",45,"3,407,719",9,"857,238",45,"3,407,719"
北欧・地中海,12,"1,079,946",47,"4,404,600",12,"1,079,946",46,"4,397,598"
南米西岸,4,"492,483",14,"1,770,438",4,"492,483",14,"1,770,438"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,5,"230,264",16,"726,837",5,"230,264",16,"726,837"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,144,"3,591,585",556,"14,124,762",144,"3,591,585",556,"14,124,762"
台湾,-,-,-,-,-,-,-,-
韓国,40,"348,832",168,"1,450,452",40,"348,832",168,"1,450,452"
中国(香港含む),164,"1,851,987",586,"6,765,445",164,"1,851,987",584,"6,689,321"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,20,"274,135",73,"882,360",-,-,-,-
内航計,"1,326","3,605,518","5,590","14,734,550",283,"2,180,323","1,160","8,411,636"
内航定期計,445,"2,551,154","1,981","10,633,043",239,"1,918,973","1,024","7,913,365"
北海道,93,"1,004,429",393,"4,264,042",93,"1,004,429",393,"4,264,042"
東北,53,"38,447",217,"181,841",53,"38,447",217,"181,841"
関東,78,"29,726",316,"110,276",-,-,-,-
伊豆諸島,99,"236,011",529,"1,194,170",-,-,-,-
中部,7,"5,243",69,"51,654",7,"5,243",69,"51,654"
近畿,8,"5,992",45,"126,826",8,"5,992",45,"126,826"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,81,"956,429",314,"3,671,763",52,"589,985",202,"2,256,531"
沖縄,26,"274,877",98,"1,032,471",26,"274,877",98,"1,032,471"
内航不定期,881,"1,054,364","3,609","4,101,507",44,"261,350",136,"498,271"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
