 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,29,112,29,112,
,総トン数,,"366,444","1,415,232","366,444","1,415,232",
取扱貨物,計,計,"837,260","3,314,575","837,260","3,314,575",
,,出荷,"435,070","1,716,025","435,070","1,716,025",
,,入荷,"402,190","1,598,550","402,190","1,598,550",
取　扱　台　数,バ　ス,計,8,30,8,30,
,,出荷,1,6,1,6,
,,入荷,7,24,7,24,
,トラック,計,"7,601","30,031","7,601","30,031",
,,出荷,"3,991","15,741","3,991","15,741",
,,入荷,"3,610","14,290","3,610","14,290",
,乗用車,計,"3,187","16,257","3,187","16,257",
,,出荷,"1,717","8,874","1,717","8,874",
,,入荷,"1,470","7,383","1,470","7,383",
乗降人員,計,,722,"7,661",722,"7,661",
,乗船,,418,"3,948",418,"3,948",
,降船,,304,"3,713",304,"3,713",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
