 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"313,238","125,590","1,134,512","420,736","89,359","122,693","345,500","408,440","223,879","2,897","789,012","12,296"
,101.3%,102.2%,97.2%,90.5%,92.4%,103.6%,101.2%,90.0%,105.4%,64.2%,95.5%,112.7%
外航計,"290,931","115,504","1,043,367","352,996","77,893","114,350","297,911","347,867","213,038","1,154","745,456","5,129"
,102.5%,117.1%,96.6%,91.2%,90.6%,117.1%,99.3%,90.6%,107.7%,122.1%,95.6%,176.9%
外航定期計,"290,931","115,504","1,043,367","352,996","77,893","114,350","297,911","347,867","213,038","1,154","745,456","5,129"
,102.5%,117.1%,96.6%,91.2%,90.6%,117.1%,99.3%,90.6%,107.7%,122.1%,95.6%,176.9%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"32,759","18,116","102,702","53,872","3,631","17,879","21,098","51,792","29,128",237,"81,604","2,080"
,77.6%,119.2%,66.8%,107.8%,24.6%,121.3%,38.1%,105.8%,106.2%,50.7%,83.0%,202.9%
北米東岸(カリビア海含む),"8,931","2,671","35,583","6,746","4,750","2,661","17,464","6,522","4,181",10,"18,119",224
,105.4%,83.7%,96.1%,62.2%,205.4%,83.5%,111.1%,60.4%,67.9%,166.7%,85.0%,448.0%
北欧・地中海,"34,962","7,074","136,190","13,872","19,310","6,556","68,682","12,751","15,652",518,"67,508","1,121"
,130.4%,444.1%,178.3%,142.8%,115.1%,417.6%,180.2%,133.0%,155.8%,2252.2%,176.4%,855.7%
南米西岸,"3,673","2,520","11,281","7,143",532,"2,434","1,456","6,799","3,141",86,"9,825",344
,124.0%,131.7%,91.3%,82.6%,141.9%,146.0%,85.8%,81.4%,121.5%,35.0%,92.2%,116.6%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
