設置,施設名,郵便番号,所在地,電話番号,定員
事務組合,淀橋荘,-,新宿区,-,54
事務組合,千歳荘,-,世田谷区,-,56
事務組合,小豆沢荘,-,板橋区,-,115
社福法人,宿所提供施設ふじみ,-,板橋区,-,60
事務組合,西新井栄荘,-,足立区,-,100
事務組合,葛飾荘,-,葛飾区,-,75
