"設置","施設名","郵便番号","所在地","電話番号","定員"
"-","新宿区立かしわヴィレッジ","-","-","-","-"
"-","のぞみ荘","-","-","-","-"
"-","台東区母子生活支援施設さくら荘","-","-","-","-"
"-","厚生館立花","-","-","-","-"
"-","母子生活支援施設ベタニヤホーム","-","-","-","-"
"-","墨田区墨田母子生活ホーム","-","-","-","-"
"-","パークサイド亀島","-","-","-","-"
"-","品川区立ひまわり荘","-","-","-","-"
"-","目黒区みどりハイム","-","-","-","-"
"-","大田区立コスモス苑","-","-","-","-"
"-","大田区立ひまわり苑","-","-","-","-"
"-","ナオミホーム","-","-","-","-"
"-","母子生活支援施設かわだ","-","-","-","-"
"-","世田谷区立パルメゾン上北沢","-","-","-","-"
"-","ブルーメ笹塚","-","-","-","-"
"-","中野区さつき寮","-","-","-","-"
"-","サンライズ武蔵野","-","-","-","-"
"-","愛の家ファミリーホーム","-","-","-","-"
"-","北区立浮間ハイマート","-","-","-","-"
"-","ハイツ尾竹","-","-","-","-"
"-","板橋区立カーサはるにれ","-","-","-","-"
"-","カインズ成増","-","-","-","-"
"-","練馬区立母子生活支援施設","-","-","-","-"
"-","足立区立あすなろ大谷田","-","-","-","-"
"-","あゆみ苑","-","-","-","-"
"-","ふたばホーム","-","-","-","-"
"-","江戸川区そよ風松島荘","-","-","-","-"
"-","リフレここのえ","-","-","-","-"
"-","三鷹市立母子生活支援施設三鷹寮","-","-","-","-"
"-","白鳥寮","-","-","-","-"
"-","サンライズ万世","-","-","-","-"
"-","皐月","-","-","-","-"
"-","網代ホームきずな","-","-","-","-"
