地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,インド,タイ,ネパール,英国,フランス,ミャンマー,その他,前年同月との比較／総数,前年同月との比較／増減数
4,13305,日の出町,74,21,12,13,15,0,0,0,0,0,0,13,77,-3
4,13307,檜原村,10,0,3,2,5,0,0,0,0,0,0,0,12,-2
4,13308,奥多摩町,23,6,1,5,5,0,1,0,1,0,0,4,22,1
2,13350,島部,231,21,82,69,14,0,10,0,2,0,0,33,229,2
3,13360,大島支庁,58,12,9,3,2,0,7,0,0,0,0,25,59,-1
3,13380,三宅支庁,39,2,20,15,1,0,0,0,0,0,0,1,36,3
3,13400,八丈支庁,114,5,48,50,4,0,3,0,1,0,0,3,119,-5
3,13420,小笠原支庁,20,2,5,1,7,0,0,0,1,0,0,4,15,5
,,,,,,,,,,,,,,,,
外国人登録人口　平成23年1月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人登録人口 （平成23年1月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成２３年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
