"課税標準額段階","納税義務者数[人]","納税義務者数 構成比[%]","総所得金額等[千円]","所得割額[千円]","所得割額 構成比[%]"
"10万円以下の金額","2903","2.0","1980459","617958","0.8"
"10万円を超える金額","21720","15.2","31409969","904581","1.2"
"100万円を超える金額","26442","18.5","66405576","2711467","3.7"
"200万円を超える金額","20005","14.0","74870698","2961704","4.0"
"300万円を超える金額","13976","9.8","68892322","3935646","5.3"
"400万円を超える金額","14099","9.8","90038856","3978327","5.4"
"550万円を超える金額","9143","6.4","73613381","3352088","4.5"
"700万円を超える金額","11402","8.0","117606558","5465704","7.4"
"1,000万円を超える金額","23549","16.4","843608985","50037707","67.7"
"合計","143239","100.0","1368426804","73965182","100.0"

"令和3年度港区行政資料集　令和３年度特別区民税課税標準額段階別納税義務者数等","Ver202107",,,,
