"年度","新規相談受理数[件]","親子ふれあい広場利用者数[人]"
"2014","813","24649"
"2015","926","23761"
"2016","948","24737"
"2017","1088","22351"
"2018","1277","20603"

"令和元年度港区行政資料集　施設利用状況一覧 子ども家庭支援センター","Ver201903",
