"所管","丁目","総数 会社企業数","総数 従業者数[人]","資本金階級 300万円未満 会社企業数","資本金階級 300万円未満 従業者数[人]","資本金階級 300万～500万円未満 会社企業数","資本金階級 300万～500万円未満 従業者数[人]","資本金階級 500万～1000万円未満 会社企業数","資本金階級 500万～1000万円未満 従業者数[人]","資本金階級 1000万～3000万円未満 会社企業数","資本金階級 1000万～3000万円未満 従業者数[人]","資本金階級 3000万～5000万円未満 会社企業数","資本金階級 3000万～5000万円未満 従業者数[人]","資本金階級 5000万～1億円未満 会社企業数","資本金階級 5000万～1億円未満 従業者数[人]","資本金階級 1億円～3億円未満 会社企業数","資本金階級 1億円～3億円未満 従業者数[人]","資本金階級 3億円～10億円未満 会社企業数","資本金階級 3億円～10億円未満 従業者数[人]","資本金階級 10億円～50億円未満 会社企業数","資本金階級 10億円～50億円未満 従業者数[人]","資本金階級 50億円以上 会社企業数","資本金階級 50億円以上 従業者数[人]"
"芝地区総合支所","芝１丁目","128","6253","2","10","20","68","7","32","52","889","10","445","13","1247","5","201","6","1194","3","1476","1","611"
"芝地区総合支所","芝２丁目","366","22989","13","49","53","192","18","178","140","2629","31","756","24","2900","35","4048","17","3444","10","3902","3","3956"
"芝地区総合支所","芝３丁目","301","23125","24","227","40","131","20","93","107","1762","24","662","27","3019","17","5734","11","5102","4","1140","3","4906"
"芝地区総合支所","芝４丁目","213","13910","3","30","20","97","10","75","78","1261","21","1105","23","2026","18","1981","5","1132","8","3374","3","1980"
"芝地区総合支所","芝５丁目","444","73775","19","71","69","581","27","423","163","2619","30","25719","35","2882","16","9286","18","4058","11","2290","9","24718"
"芝地区総合支所","海岸１丁目","160","39911","6","46","9","59","15","79","55","1290","11","241","7","441","20","6368","9","1799","10","3162","7","25854"
"芝地区総合支所","東新橋１丁目","163","133883","5","16","11","219","4","39","39","1173","8","332","16","738","23","20057","14","1491","12","7208","19","102347"
"芝地区総合支所","東新橋２丁目","152","14072","5","20","15","62","9","42","54","1161","14","648","10","1134","13","6799","6","1336","2","267","-","-"
"芝地区総合支所","新橋１丁目","181","11290","8","29","25","185","13","90","71","1059","19","1099","22","2324","5","319","4","403","3","672","2","5019"
"芝地区総合支所","新橋２丁目","371","10649","19","165","71","546","24","200","128","1583","16","510","31","1460","14","1034","10","1514","4","3124","-","-"
"芝地区総合支所","新橋３丁目","246","9554","5","96","46","303","15","107","107","1937","11","207","15","1535","3","836","6","3381","-","-","-","-"
"芝地区総合支所","新橋４丁目","206","9142","6","11","35","198","15","443","90","2020","15","561","17","1030","6","270","6","1578","1","12","2","2604"
"芝地区総合支所","新橋５丁目","389","57178","23","184","47","169","26","522","190","2735","27","1804","23","1189","13","1331","7","34399","4","1940","7","12644"
"芝地区総合支所","新橋６丁目","236","20572","6","25","24","101","11","47","110","1439","19","413","18","1049","18","5019","8","4089","5","2665","4","5569"
"芝地区総合支所","西新橋１丁目","409","30171","29","236","49","205","35","297","150","2232","27","4214","38","3084","29","2823","15","1231","4","829","9","14493"
"芝地区総合支所","西新橋２丁目","313","38325","11","33","40","153","21","273","117","1363","35","636","27","2403","14","11724","12","1387","8","6585","7","13349"
"芝地区総合支所","西新橋３丁目","245","18686","11","33","34","245","13","99","96","1922","24","2641","25","1293","10","418","14","2581","1","214","4","8968"
"芝地区総合支所","三田１丁目","119","27530","5","13","9","44","7","49","44","558","4","234","20","5495","7","4082","4","2773","5","6439","2","6589"
"芝地区総合支所","三田２丁目","147","3841","5","27","28","156","9","64","80","1934","8","297","4","121","-","-","3","1016","1","100","-","-"
"芝地区総合支所","三田３丁目","248","30459","5","210","31","285","9","52","86","3824","21","1466","28","2443","18","5107","14","6270","8","3147","6","6431"
"芝地区総合支所","浜松町１丁目","304","13348","10","47","35","142","17","123","128","2622","25","1252","28","2391","19","2674","10","2693","5","1022","-","-"
"芝地区総合支所","浜松町２丁目","279","30041","5","70","36","177","14","153","90","2375","29","1032","28","2153","23","1397","13","7544","9","6090","5","8623"
"芝地区総合支所","芝大門１丁目","284","27707","6","34","32","172","17","96","120","1857","24","610","22","623","18","2166","14","5520","8","2978","6","12743"
"芝地区総合支所","芝大門２丁目","299","17324","8","42","40","194","17","96","131","2930","24","1355","24","4060","19","3573","7","3996","2","570","-","-"
"芝地区総合支所","芝公園１丁目","59","3295","3","34","5","27","1","3","21","542","5","92","7","1276","9","734","2","374","1","52","-","-"
"芝地区総合支所","芝公園２丁目","135","29046","5","48","6","47","4","29","43","578","10","583","14","4939","13","2382","12","2625","12","14794","4","1358"
