重点化の視点,代表的な公園・緑地,,
防災,都事業：和田堀公園、高井戸公園、上板橋公園（城北中央公園）、練馬城址公園、篠崎公園、神代公園（神代植物公園）,,
防災,区市町事業：南中野公園（中野区）、宮前公園（荒川区）、中村中央公園（練馬区）、新宿六丁目公園（葛飾区）、新川防災公園（三鷹市）,,
環境保全、レクリエーション、景観・魅力,都事業：中藤公園、観音寺森緑地、大戸緑地,,
環境保全、レクリエーション、景観・魅力,区市町事業：成城みつ池緑地（世田谷区）、川越道緑地（立川市）、三輪緑地（町田市）,,
,,,
