"年度[西暦]","アメリカ[人]","韓国及び朝鮮[人]","中国[人]","イギリス[人]","フィリピン[人]","フランス[人]","ドイツ[人]","その他[人]"
2013,3430,3635,3060,838,902,703,327,5547
2014,3372,3517,3160,803,910,758,366,5822
2015,3293,3415,3298,780,960,787,356,6060
2016,3182,3416,3578,849,1039,782,379,6134
2017,3304,3456,3825,881,1043,818,371,6274

"平成30年度港区行政資料集　外国人住民数","Ver201803",,,,,,,
