"登録日","最終住所地による登録者 男[人]","本籍地による登録者 男[人]","男合計[人]","最終住所地による登録者 女[人]","本籍地による登録者 女[人]","女計[人]","計[人]"
"20230210","435","69","504","574","117","691","1195"
"20221110","444","69","513","574","120","694","1207"
"20220810","444","70","514","578","121","699","1213"
"20220601","437","71","508","575","122","697","1205"
"20220210","430","71","501","565","122","687","1188"
"20211110","419","71","490","556","123","679","1169"
"20210810","415","72","487","544","123","667","1154"
"20210510","422","72","494","534","125","659","1153"
"20210210","415","74","489","530","126","656","1145"
"20201110","426","75","501","534","126","660","1161"
"20200806","435","77","512","537","126","663","1175"
"20200508","454","80","534","537","126","663","1197"
"20200210","458","80","538","540","126","666","1204"
"20191108","453","82","535","536","126","662","1197"
"20190809","454","82","536","530","129","659","1195"
"20190510","446","82","528","517","128","645","1173"
"20190208","433","83","516","506","126","632","1148"

"在外選挙人名簿登録者数　令和5年3月2日時点","Ver202304",,,,,,
