初心運転者（準中型免許取得者）の交通事故状況（令和5年）,,,
,,,
教  習  所,卒　業　者　数,事　故　人　員,事　故　者　率
今　　　井,75,0,0.00%
ト　ヨ　タ,55,1,1.82%
東　　　急,104,3,2.88%
秋　　　津,88,1,1.14%
平　和　橋,115,1,0.87%
飛 鳥 日 野,43,1,2.33%
田　　　無,38,1,2.63%
武　蔵　境,116,0,0.00%
拝　　　島,64,0,0.00%
京　　　成,67,0,0.00%
二 子 玉 川,97,2,2.06%
石　神　井,88,0,0.00%
八王子中央,66,1,1.52%
伊 豆 大 島,18,1,5.56%
足　　　立,154,3,1.95%
新　小　岩,66,3,4.55%
西　多　摩,41,1,2.44%
東京センチュリー,13,2,15.38%
合　　　計,1308,21,1.61%
