"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2006120101,"港南",9995,48,38,86,,,,,23,,2,"E",,,
2006120102,"港南",1,10,33,43,,,,,14,,5,"ENE",,,
2006120103,"港南",1,3,29,32,,,,,11,,3,"SE",,,
2006120104,"港南",1,3,30,33,,,,,9,,5,"SE",,,
2006120105,"港南",1,3,29,32,,,,,10,,5,"ESE",,,
2006120106,"港南",1,6,32,38,,,,,12,,3,"E",,,
2006120107,"港南",1,20,37,57,,,,,10,,1,"ESE",,,
2006120108,"港南",2,22,36,58,,,,,15,,3,"SSE",,,
2006120109,"港南",2,24,36,60,,,,,22,,2,"WSW",,,
2006120110,"港南",3,31,38,69,,,,,26,,7,"SSE",,,
2006120111,"港南",5,47,45,92,,,,,19,,11,"E",,,
2006120112,"港南",7,64,51,115,,,,,40,,12,"ENE",,,
2006120113,"港南",9,51,50,101,,,,,33,,19,"ENE",,,
2006120114,"港南",8,36,52,88,,,,,27,,10,"SSE",,,
2006120115,"港南",10,36,53,89,,,,,27,,15,"ENE",,,
2006120116,"港南",8,28,48,76,,,,,19,,5,"SSW",,,
2006120117,"港南",6,9,43,52,,,,,16,,3,"WSW",,,
2006120118,"港南",8,38,51,89,,,,,27,,4,"S",,,
2006120119,"港南",9,20,46,66,,,,,17,,3,"SW",,,
2006120120,"港南",6,22,49,71,,,,,21,,8,"ENE",,,
2006120121,"港南",5,18,46,64,,,,,19,,1,"N",,,
2006120122,"港南",5,25,49,74,,,,,22,,0,"SW",,,
2006120123,"港南",4,65,51,116,,,,,29,,1,"ENE",,,
2006120124,"港南",2,61,44,105,,,,,31,,1,"E",,,
2006120201,"港南",2,84,43,127,,,,,32,,1,"E",,,
2006120202,"港南",2,99,44,143,,,,,44,,2,"E",,,
2006120203,"港南",2,83,43,126,,,,,43,,1,"E",,,
2006120204,"港南",2,42,38,80,,,,,36,,1,"SSE",,,
2006120205,"港南",1,57,37,94,,,,,38,,4,"SSW",,,
2006120206,"港南",1,86,37,123,,,,,35,,1,"ENE",,,
2006120207,"港南",1,128,40,168,,,,,38,,0,"SW",,,
2006120208,"港南",2,122,44,166,,,,,43,,1,"SW",,,
2006120209,"港南",4,99,48,147,,,,,35,,3,"SSE",,,
2006120210,"港南",7,90,51,141,,,,,44,,9,"ESE",,,
2006120211,"港南",13,81,52,133,,,,,48,,10,"SW",,,
2006120212,"港南",5,14,35,49,,,,,30,,17,"SSW",,,
2006120213,"港南",5,5,23,28,,,,,32,,18,"SSW",,,
2006120214,"港南",4,1,11,12,,,,,26,,21,"SW",,,
2006120215,"港南",4,1,12,13,,,,,38,,20,"SW",,,
2006120216,"港南",3,1,14,15,,,,,32,,18,"SSW",,,
2006120217,"港南",3,1,17,18,,,,,29,,19,"SW",,,
2006120218,"港南",3,1,17,18,,,,,17,,20,"SW",,,
2006120219,"港南",4,1,17,18,,,,,23,,22,"SW",,,
2006120220,"港南",4,1,19,20,,,,,38,,8,"SSW",,,
2006120221,"港南",4,5,31,36,,,,,27,,2,"WNW",,,
2006120222,"港南",3,3,32,35,,,,,25,,8,"E",,,
2006120223,"港南",2,1,17,18,,,,,10,,10,"ENE",,,
2006120224,"港南",1,1,13,14,,,,,14,,13,"E",,,
2006120301,"港南",1,2,11,13,,,,,10,,13,"ENE",,,
2006120302,"港南",1,3,12,15,,,,,10,,11,"E",,,
2006120303,"港南",0,1,10,11,,,,,3,,8,"ENE",,,
2006120304,"港南",0,0,9,9,,,,,10,,5,"ENE",,,
2006120305,"港南",0,0,10,10,,,,,9,,8,"E",,,
2006120306,"港南",0,1,12,13,,,,,6,,6,"NE",,,
2006120307,"港南",1,2,17,19,,,,,14,,11,"ENE",,,
2006120308,"港南",1,3,16,19,,,,,3,,6,"SE",,,
2006120309,"港南",1,4,16,20,,,,,6,,6,"E",,,
2006120310,"港南",1,4,15,19,,,,,9,,8,"ENE",,,
2006120311,"港南",1,5,14,19,,,,,9,,8,"NW",,,
2006120312,"港南",2,5,15,20,,,,,11,,13,"E",,,
2006120313,"港南",2,6,17,23,,,,,19,,5,"ENE",,,
2006120314,"港南",2,4,18,22,,,,,20,,10,"SE",,,
2006120315,"港南",2,5,23,28,,,,,19,,8,"SSE",,,
2006120316,"港南",3,3,24,27,,,,,14,,6,"E",,,
2006120317,"港南",2,2,29,31,,,,,20,,4,"SSE",,,
2006120318,"港南",3,3,36,39,,,,,16,,2,"SSE",,,
2006120319,"港南",4,3,34,37,,,,,14,,4,"ENE",,,
2006120320,"港南",4,3,32,35,,,,,15,,6,"ESE",,,
2006120321,"港南",5,5,33,38,,,,,29,,4,"SSE",,,
2006120322,"港南",8,25,42,67,,,,,26,,3,"NE",,,
2006120323,"港南",2,27,38,65,,,,,31,,2,"E",,,
2006120324,"港南",2,14,35,49,,,,,34,,4,"WNW",,,
2006120401,"港南",1,8,34,42,,,,,20,,5,"WSW",,,
2006120402,"港南",1,4,27,31,,,,,10,,3,"NE",,,
2006120403,"港南",1,2,25,27,,,,,16,,5,"ENE",,,
2006120404,"港南",1,4,25,29,,,,,12,,3,"E",,,
2006120405,"港南",1,4,28,32,,,,,10,,2,"ESE",,,
2006120406,"港南",0,8,31,39,,,,,12,,4,"E",,,
2006120407,"港南",0,16,33,49,,,,,6,,1,"NNW",,,
2006120408,"港南",1,26,35,61,,,,,14,,4,"ENE",,,
2006120409,"港南",1,49,39,88,,,,,12,,2,"E",,,
2006120410,"港南",2,45,38,83,,,,,15,,8,"E",,,
2006120411,"港南",3,56,43,99,,,,,24,,12,"ENE",,,
2006120412,"港南",5,65,49,114,,,,,23,,8,"NE",,,
2006120413,"港南",8,62,52,114,,,,,30,,8,"ENE",,,
2006120414,"港南",10,60,54,114,,,,,27,,11,"E",,,
2006120415,"港南",8,50,59,109,,,,,37,,9,"E",,,
2006120416,"港南",8,45,61,106,,,,,25,,7,"ESE",,,
2006120417,"港南",8,49,63,112,,,,,36,,2,"W",,,
2006120418,"港南",9,54,63,117,,,,,29,,2,"ESE",,,
2006120419,"港南",8,54,58,112,,,,,26,,3,"SSE",,,
2006120420,"港南",2,19,46,65,,,,,22,,6,"ENE",,,
2006120421,"港南",1,6,33,39,,,,,14,,4,"E",,,
2006120422,"港南",1,5,34,39,,,,,17,,5,"ENE",,,
2006120423,"港南",1,8,37,45,,,,,14,,3,"N",,,
2006120424,"港南",1,8,36,44,,,,,12,,3,"NW",,,
2006120501,"港南",1,15,37,52,,,,,6,,4,"NE",,,
2006120502,"港南",1,27,38,65,,,,,10,,1,"SSE",,,
2006120503,"港南",1,30,38,68,,,,,15,,1,"NE",,,
2006120504,"港南",1,55,41,96,,,,,12,,2,"ENE",,,
2006120505,"港南",1,63,42,105,,,,,9,,3,"E",,,
2006120506,"港南",1,98,45,143,,,,,12,,0,"ESE",,,
2006120507,"港南",1,149,45,194,,,,,20,,0,"ENE",,,
2006120508,"港南",2,159,47,206,,,,,23,,0,"NNE",,,
2006120509,"港南",5,154,51,205,,,,,29,,10,"E",,,
2006120510,"港南",6,143,60,203,,,,,54,,6,"NNE",,,
2006120511,"港南",4,95,59,154,,,,,81,,5,"NW",,,
2006120512,"港南",4,102,59,161,,,,,44,,15,"ENE",,,
2006120513,"港南",6,83,55,138,,,,,37,,8,"SE",,,
2006120514,"港南",8,96,60,156,,,,,46,,8,"E",,,
2006120515,"港南",9,65,53,118,,,,,30,,6,"SE",,,
2006120516,"港南",9,62,56,118,,,,,32,,8,"E",,,
2006120517,"港南",11,92,61,153,,,,,34,,3,"ENE",,,
2006120518,"港南",14,104,60,164,,,,,42,,5,"W",,,
2006120519,"港南",15,105,59,164,,,,,46,,4,"WNW",,,
2006120520,"港南",8,63,49,112,,,,,52,,4,"ESE",,,
2006120521,"港南",5,27,44,71,,,,,40,,6,"E",,,
2006120522,"港南",3,22,44,66,,,,,39,,4,"SE",,,
