行政区,区 数,委員数（人）
総数,724,"43,925"
区部計,338,"24,567"
千代田区,4,102
中央区,19,931
港区,10,736
新宿区,10,912
文京区,9,750
台東区,11,659
墨田区,10,"1,300"
江東区,9,557
品川区,13,874
目黒区,22,399
大田区,18,"1,162"
世田谷区,29,"1,417"
渋谷区,11,412
中野区,14,794
杉並区,17,965
豊島区,12,501
北区,19,"2,023"
荒川区,5,590
板橋区,18,"2,217"
練馬区,17,"2,265"
足立区,25,"1,671"
葛飾区,19,"1,741"
江戸川区,17,"1,589"
市部計,340,"18,725"
八王子市,37,"2,636"
立川市,12,836
武蔵野市,12,"1,425"
三鷹市,15,861
青梅市,11,419
府中市,11,641
昭島市,19,960
調布市,20,590
町田市,24,"1,581"
小金井市,6,241
小平市,19,"1,291"
日野市,8,477
東村山市,7,629
国分寺市,5,162
国立市,8,299
福生市,31,465
狛江市,4,161
東大和市,10,530
清瀬市,5,288
東久留米市,7,449
武蔵村山市,9,405
多摩市,15,960
稲城市,10,214
羽村市,7,350
あきる野市,10,875
西東京市,18,980
西多摩郡計,24,371
瑞穂町,6,264
日の出町,2,37
檜原村,―,―
奥多摩町,16,70
島嶼部計,22,262
大島町,7,7
利島村,―,―
新島村,1,―
神津島村,1,―
三宅村,5,5
御蔵島村,―,―
八丈町,8,250
青ヶ島村,―,―
小笠原村,―,―
